,Team,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,TP,A,TO,Blk,Stl,Min,Date,Event
0,Knicks,Nate Ament,2-4,1-1,2-2,0.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
1,Knicks,Darius Bivins,1-2,0-1,0-0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
2,Knicks,CJ Brown,8-10,2-2,0-0,0.0,2.0,2.0,18.0,5.0,2.0,0.0,3.0,,2023-08-04,2023 Adidas All-American Camp
3,Knicks,Terion Burgess,2-5,0-3,2-2,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
4,Knicks,VJ Edgecombe,11-17,3-6,4-5,2.0,1.0,3.0,29.0,5.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
5,Knicks,Zachary Foster,3-8,0-2,1-2,0.0,2.0,2.0,7.0,1.0,0.0,0.0,2.0,,2023-08-04,2023 Adidas All-American Camp
6,Knicks,Brody Kozlowski,2-7,1-6,2-2,1.0,2.0,3.0,7.0,1.0,0.0,0.0,2.0,,2023-08-04,2023 Adidas All-American Camp
7,Knicks,Doryan Onwuchekwa,5-6,0-0,2-2,1.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
8,Knicks,Jasir Rencher,1-2,0-1,0-0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
9,Sixers,Alijah Arenas,4-11,2-7,2-2,1.0,1.0,2.0,12.0,2.0,2.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
11,Sixers,Jackson Keith,8-13,5-8,3-3,1.0,1.0,2.0,24.0,1.0,3.0,0.0,1.0,,2023-08-04,2023 Adidas All-American Camp
12,Sixers,Jalen Leonard,3-4,2-3,0-0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
13,Sixers,Andre Mills,3-8,0-3,2-4,0.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
14,Sixers,Elijah Moore,2-7,0-4,0-0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
15,Sixers,Josiah Moseley,5-8,2-3,0-1,0.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
16,Sixers,Jayden Williams,3-4,0-0,1-2,3.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
17,Raptors,Ben Ahmed,2-2,0-0,1-1,0.0,8.0,8.0,5.0,0.0,1.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
18,Raptors,Mike Brown Jr,6-12,3-7,2-2,1.0,1.0,2.0,17.0,0.0,0.0,1.0,1.0,,2023-08-04,2023 Adidas All-American Camp
19,Raptors,Eli DeLaurier,3-4,0-1,0-0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
20,Raptors,Anthony Felesi,4-7,2-3,0-0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
21,Raptors,"KJ Greene, Jr",2-6,0-2,0-0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
22,Raptors,Micah Robinson,4-12,0-5,0-0,1.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
23,Raptors,Khani Rooths,2-5,0-0,3-4,1.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
24,Raptors,Kur Teng,7-12,2-3,0-0,1.0,1.0,2.0,16.0,1.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
25,Lakers,Annor Boateng,10-19,3-7,5-7,0.0,4.0,4.0,28.0,1.0,0.0,2.0,1.0,,2023-08-04,2023 Adidas All-American Camp
26,Lakers,KJ Cochran,2-5,1-2,0-2,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
27,Lakers,Kellen Hampton,0-4,0-3,0-0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
28,Lakers,"JJ Mandaquit, Jr",1-6,1-2,3-4,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,,2023-08-04,2023 Adidas All-American Camp
29,Lakers,Moustapha Thiam,6-7,2-2,4-7,5.0,2.0,7.0,18.0,1.0,2.0,2.0,0.0,,2023-08-04,2023 Adidas All-American Camp
30,Lakers,"George Turkson, Jr",0-1,0-0,0-0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
31,Lakers,Jalan Wingfield,1-2,1-1,0-0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
32,Lakers,Carlsheon Young,1-5,0-1,3-4,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,,2023-08-04,2023 Adidas All-American Camp
33,Kings,Latrell Allmond,3-3,0-0,1-2,1.0,2.0,3.0,7.0,1.0,2.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
34,Kings,Dillon Battie,6-7,1-1,1-1,1.0,3.0,4.0,14.0,1.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
35,Kings,Nic Codie,1-5,0-1,0-0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
36,Kings,Eric Freeny,6-10,3-5,0-0,4.0,2.0,6.0,15.0,2.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
37,Kings,Ian Jackson,7-14,4-7,4-7,3.0,5.0,8.0,22.0,5.0,0.0,2.0,0.0,,2023-08-04,2023 Adidas All-American Camp
38,Kings,Treyvon Maddox,1-4,0-1,2-2,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
39,Kings,Peyton Marshall,4-8,0-0,0-2,2.0,7.0,9.0,8.0,0.0,0.0,4.0,0.0,,2023-08-04,2023 Adidas All-American Camp
40,Kings,Tyus Thomas,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
41,Blazers,Toni Bryant,0-3,0-1,0-0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
42,Blazers,Zoom Diallo,5-11,1-3,0-0,4.0,5.0,9.0,11.0,5.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
43,Blazers,Braden Frager,4-6,1-3,0-0,2.0,1.0,3.0,9.0,1.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
44,Blazers,Gicarri Harris,7-11,2-4,2-3,1.0,2.0,3.0,18.0,0.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
45,Blazers,Isiah Harwell,5-12,4-8,2-2,2.0,1.0,3.0,16.0,1.0,0.0,1.0,0.0,,2023-08-04,2023 Adidas All-American Camp
46,Blazers,Isaiah Johnson-Arigu,3-8,0-1,0-0,1.0,6.0,7.0,6.0,3.0,1.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
47,Blazers,Malachi Moreno,4-7,0-1,1-3,2.0,2.0,4.0,9.0,2.0,0.0,2.0,0.0,,2023-08-04,2023 Adidas All-American Camp
48,Blazers,Micah Smith,2-3,0-1,0-0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,,2023-08-04,2023 Adidas All-American Camp
