Timestamp,Please indicate your age range.,Please indicate your gender.,Please indicate your race.,How many years have you been working in education?,Which option best describes your role in your school?,In what division do you work?,In what state is your school located?,How would you describe your school?,How much autonomy do you have in your job?,Know Yourself,Understand Emotions,Tell Empowering Stories,Build Community,Be Here Now,Take Care of Yourself,Focus on the Bright Spots,Cultivate Compassion,Be a Learner,Play and Create,Ride the Waves of Change,Celebrate and Appreciate,Purposefulness,Acceptance,Optimism,Empathy,Humor,Positive Self-Perception ,Empowerment ,Perspective,Curiosity,Courage,Perseverance ,Trust 
8/24/2019 9:56:13,45 - 49,Female,White,25 - 29 years,Administrator,Upper School,DE,2,3,5,5,4,4,3,3,3,3,3,3,4,4,5,4,4,3,4,2,3,3,4,4,4,3
8/24/2019 14:09:09,35 - 39,Female,White,5 - 9 years,Administrator,Upper School,AZ,3,4,4,4,3,3,2,3,3,4,4,3,3,3,4,3,3,5,5,3,4,5,4,4,5,3
8/29/2019 13:57:44,50 - 54,Female,White,25 - 29 years,Administrator,Upper School,MS,3,4,4,4,3,5,4,2,4,4,4,5,4,5,4,3,4,4,4,4,5,4,4,4,4,4
9/4/2019 17:35:17,50 - 54,Female,White,20 - 24 years,Administrator,Upper School,NY,3,4,4,4,3,4,3,5,3,4,3,3,4,5,4,4,4,4,2,4,4,5,3,4,4,4
9/5/2019 8:19:11,40 - 44,Female,White,20 - 24 years,Administrator,Upper School,NJ,4,4,5,5,4,3,3,4,2,2,3,3,4,4,4,5,3,5,4,5,5,5,4,5,5,5
9/5/2019 8:34:00,45 - 49,Female,White,20 - 24 years,Administrator,Lower School,KY,4,4,5,4,4,5,5,2,3,5,5,5,5,4,4,3,4,5,5,3,5,5,5,4,5,5
9/5/2019 9:52:36,40 - 44,Female,White,15 - 19 years,Administrator,Lower School,CA,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3
9/6/2019 13:38:39,60 - 64,Female,White,30 or more years,Administrator,Upper School,AZ,4,5,4,3,4,4,3,3,4,4,4,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4
9/6/2019 13:44:35,55 - 59,Female,White,30 or more years,Teacher,,AZ,4,4,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5
9/6/2019 13:46:40,25 - 29,Female,White,5 - 9 years,Teacher,Lower School,AZ,3,3,5,4,4,3,4,5,5,4,4,5,4,4,4,4,4,5,5,3,4,4,4,3,4,3
9/6/2019 13:48:32,35 - 39,Female,Asian,10 - 14 years,Teacher,Upper School,TX,4,4,5,4,4,4,5,5,4,4,3,3,4,5,5,4,4,4,4,3,3,4,4,5,3,4
9/6/2019 13:49:12,25 - 29,Female,White,5 - 9 years,Teacher,Middle School,AZ,3,4,4,4,5,3,3,4,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,3,,4
9/6/2019 13:54:02,60 - 64,Female,White,25 - 29 years,Administrator,Lower School,AZ,4,4,5,4,4,4,4,4,4,5,5,3,4,5,5,4,4,5,3,4,4,4,5,5,5,4
9/6/2019 14:00:13,55 - 59,Female,White,5 - 9 years,Teacher,Middle School,AZ,5,3,5,4,5,4,4,2,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,5,5,4
9/6/2019 14:05:43,40 - 44,Female,White,15 - 19 years,Support Staff,Middle School,AZ,4,5,4,5,4,5,3,2,5,5,5,3,3,5,5,4,5,5,2,3,4,5,5,2,5,3
9/6/2019 14:05:58,25 - 29,Female,White,5 - 9 years,Teacher,Middle School,AZ,4,4,4,5,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4
9/6/2019 14:12:58,45 - 49,Female,White,15 - 19 years,Teacher,Middle School,AZ,4,4,4,4,4,5,4,3,5,5,4,4,4,5,4,4,5,5,5,4,4,5,4,4,4,5
9/6/2019 14:13:56,60 - 64,Female,White,30 or more years,Administrator,,AZ,4,4,4,4,4,4,3,3,4,4,5,3,4,4,4,4,5,5,5,3,4,5,4,4,4,4
9/6/2019 14:28:31,30 - 34,Female,White,5 - 9 years,Teacher,Lower School,AZ,4,3,4,3,4,5,4,2,3,4,4,2,3,5,4,4,4,4,4,4,3,4,3,2,4,3
9/6/2019 14:31:22,35 - 39,Female,LatinX/Hispanic,15 - 19 years,Teacher,Middle School,AZ,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,4,4,5,5,4,5,4
9/6/2019 14:33:06,45 - 49,Female,White,15 - 19 years,Teacher,Lower School,AZ,4,4,5,4,3,,4,2,3,4,4,2,4,3,4,4,,3,3,3,4,4,4,4,5,4
9/6/2019 14:39:34,30 - 34,Female,White,10 - 14 years,Teacher,Upper School,AZ,3,4,4,5,4,5,3,3,3,5,3,4,4,3,5,3,3,5,2,3,4,5,4,3,4,3
9/6/2019 14:41:24,35 - 39,Female,Prefer not to answer,20 - 24 years,Teacher,Upper School,AZ,4,4,5,4,5,5,5,3,4,5,4,5,4,5,5,5,4,4,5,3,3,5,5,4,4,5
9/6/2019 14:43:13,45 - 49,Female,White,20 - 24 years,Administrator,,AZ,3,4,4,4,5,4,4,3,4,4,4,2,3,4,5,4,5,4,5,5,4,5,4,4,3,4
9/6/2019 14:47:54,40 - 44,Female,White,20 - 24 years,Administrator,Middle School,AZ,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,5,3,3,4,4,5,4,4,4
9/6/2019 15:01:56,55 - 59,Female,White,30 or more years,Teacher,Middle School,AZ,2,4,4,5,3,5,3,3,4,5,5,5,3,5,4,5,5,5,5,3,5,5,5,3,5,5
9/6/2019 15:07:55,50 - 54,Female,White,20 - 24 years,Administrator,Upper School,AZ,2,4,4,4,4,5,3,3,5,5,3,3,2,5,4,4,4,4,3,3,3,3,3,3,4,4
9/6/2019 15:09:49,60 - 64,Female,White,30 or more years,Teacher,Middle School,AZ,3,4,5,4,4,4,4,3,2,4,5,4,4,3,5,4,3,5,5,4,3,3,3,4,5,5
9/6/2019 15:17:55,55 - 59,Female,White,15 - 19 years,Teacher,Upper School,AZ,3,4,5,4,4,5,5,5,4,4,5,4,4,4,5,4,4,5,5,4,5,4,4,5,5,5
9/6/2019 15:52:48,40 - 44,Female,White,10 - 14 years,Administrator,Upper School,AZ,3,4,5,5,5,4,3,3,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,4,5,4
9/6/2019 17:28:44,30 - 34,Female,White,5 - 9 years,Administrator,Upper School,AZ,4,3,4,4,3,3,4,5,4,4,3,5,4,3,4,4,4,4,4,3,4,4,3,3,3,4
9/6/2019 18:26:54,45 - 49,Female,Prefer not to answer,20 - 24 years,Teacher,Upper School,AZ,4,5,4,4,5,5,4,5,3,5,5,4,5,5,4,5,4,5,5,3,3,5,5,4,4,5
9/6/2019 19:58:31,35 - 39,Female,White,15 - 19 years,Teacher,Lower School,AZ,3,3,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5
9/6/2019 20:20:08,60 - 64,Female,White,30 or more years,Teacher,Lower School,AZ,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4
9/7/2019 16:34:07,60 - 64,Female,White,30 or more years,Teacher,Upper School,AZ,4,4,4,4,4,4,5,5,4,4,4,3,4,5,5,4,5,5,5,4,4,4,4,4,4,4
9/7/2019 16:41:33,55 - 59,Female,White,30 or more years,Teacher,Lower School,AZ,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5,4,4,4,4,5,5
9/7/2019 21:16:14,50 - 54,Female,Prefer not to answer,20 - 24 years,Teacher,Middle School,AZ,4,5,5,4,5,4,5,5,4,3,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,5
9/8/2019 16:11:17,35 - 39,Female,White,15 - 19 years,Teacher,Middle School,MA,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,3,5,3
9/8/2019 23:47:29,35 - 39,Female,White,15 - 19 years,Teacher,Lower School,AZ,4,4,4,5,4,5,5,5,4,4,4,4,4,5,4,,4,4,4,4,4,3,4,4,3,5
9/9/2019 10:55:55,55 - 59,Female,White,30 or more years,Administrator,,AZ,5,4,4,5,4,3,3,3,3,3,4,2,2,4,4,4,5,4,5,3,3,4,4,4,5,4
9/9/2019 11:50:11,55 - 59,Female,White,20 - 24 years,,Middle School,AZ,5,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,5,4,3,4,4,4,4,4,4
9/9/2019 12:09:46,25 - 29,Female,White,5 - 9 years,Administrator,Lower School,AZ,4,3,5,5,4,5,2,3,2,4,4,5,3,4,4,4,2,5,5,2,2,5,5,2,3,2
9/9/2019 15:04:08,50 - 54,Female,White,25 - 29 years,Teacher,Middle School,MA,4,4,5,5,5,4,4,3,3,4,4,4,4,5,5,4,3,5,3,2,3,4,4,3,3,3
9/9/2019 17:59:26,60 - 64,Female,White,25 - 29 years,Teacher,Lower School,AZ,3,3,4,5,4,4,4,4,4,5,5,4,4,5,5,4,5,5,5,3,4,4,5,4,4,5
9/9/2019 19:25:18,50 - 54,Female,White,25 - 29 years,Teacher,Lower School,AZ,4,3,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,5,4,4,4,4,4,4,5
9/9/2019 22:44:40,50 - 54,Female,White,25 - 29 years,Administrator,Middle School,CA,1,3,4,4,4,3,3,5,3,3,3,2,2,2,4,3,3,4,4,2,3,4,3,3,4,4
9/10/2019 9:23:24,35 - 39,Female,White,15 - 19 years,Teacher,Early Childhood,AZ,4,3,5,4,4,4,5,4,5,5,5,5,4,4,4,4,5,4,4,5,4,4,5,4,5,4
9/10/2019 10:30:00,60 - 64,Female,White,20 - 24 years,Teacher,Middle School,,4,4,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,5,4,4,5,5,5,5,4,4
9/10/2019 15:20:32,35 - 39,Female,White,10 - 14 years,Teacher,Lower School,AZ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
9/10/2019 15:22:33,25 - 29,Female,White,0 - 4 years,Teacher,Lower School,AZ,4,4,5,4,4,5,4,5,4,5,5,5,4,5,5,4,4,5,5,4,5,4,5,5,5,5
9/10/2019 16:09:29,30 - 34,Female,Bi/Multiracial,0 - 4 years,Teacher,Lower School,AZ,4,4,4,4,4,3,4,4,4,5,5,4,3,4,4,4,4,5,4,3,4,4,4,3,3,4
9/11/2019 16:36:04,60 - 64,Female,White,30 or more years,Teacher,Lower School,AZ,3,3,4,4,4,4,5,3,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,3,4,5
9/11/2019 16:44:34,45 - 49,Female,Asian,15 - 19 years,Teacher,Lower School,AZ,3,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9/12/2019 11:48:22,35 - 39,Female,White,5 - 9 years,Teacher,Early Childhood,AZ,4,3,5,5,5,5,3,3,3,4,4,5,4,5,4,3,3,5,5,2,3,4,4,3,3,4
9/13/2019 9:56:39,younger than 25 years old,Female,White,0 - 4 years,Teacher,Middle School,CA,5,4,5,5,5,5,4,5,4,4,5,4,4,5,5,5,5,5,4,4,5,4,5,3,5,5
9/13/2019 10:06:31,50 - 54,Female,White,5 - 9 years,Teacher,Upper School,CA,5,5,5,5,3,3,4,3,4,4,5,2,4,4,5,3,4,4,5,4,2,4,4,4,4,4
9/13/2019 10:07:55,40 - 44,Female,Bi/Multiracial,15 - 19 years,Administrator,,CA,5,4,5,5,4,4,4,3,4,4,5,5,4,3,5,4,4,5,3,4,4,5,4,4,4,5
9/13/2019 10:23:59,younger than 25 years old,Female,White,5 - 9 years,Teacher,Early Childhood,CA,4,4,4,4,3,4,3,4,3,4,4,5,4,4,4,4,2,5,4,3,4,4,4,3,3,3
9/13/2019 10:25:12,30 - 34,Female,Asian,10 - 14 years,Teacher,Upper School,CA,5,5,4,5,5,4,4,3,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5
9/13/2019 10:33:56,35 - 39,Female,Prefer not to answer,5 - 9 years,Administrator,Upper School,CA,4,3,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,3,4,4,4,4,4,3,4
9/13/2019 10:40:58,30 - 34,Female,White,5 - 9 years,Teacher,Upper School,CA,4,5,5,5,5,5,4,2,4,4,5,5,3,5,5,5,5,4,5,4,5,4,5,5,4,5
9/13/2019 10:43:55,35 - 39,Female,Asian,20 - 24 years,Administrator,Upper School,CA,5,3,5,4,4,3,5,2,4,4,3,3,5,3,5,4,5,5,5,5,5,5,5,4,5,4
9/13/2019 10:46:43,30 - 34,Female,White,5 - 9 years,Teacher,Middle School,CA,5,5,4,4,2,4,1,2,3,5,5,4,2,5,5,4,4,5,5,2,2,5,5,3,4,4
9/13/2019 11:03:23,30 - 34,Female,White,5 - 9 years,Teacher,Upper School,CA,5,4,4,3,4,3,4,4,5,5,3,2,5,3,5,5,5,5,5,3,4,5,5,3,3,5
9/13/2019 11:56:33,25 - 29,Female,White,0 - 4 years,Teacher,Lower School,CA,4,5,3,4,4,5,3,3,3,5,5,3,4,4,3,4,3,5,5,5,4,5,5,4,3,3
9/13/2019 12:03:32,60 - 64,Female,White,10 - 14 years,Teacher,Middle School,CA,5,4,5,4,5,5,4,3,5,5,4,5,3,5,5,5,5,4,4,4,3,3,4,5,5,5
9/13/2019 12:09:05,35 - 39,Female,White,,Teacher,Upper School,CA,4,3,4,4,4,5,3,4,3,4,4,5,3,3,3,3,4,5,4,4,3,4,5,3,3,4
9/13/2019 12:22:51,50 - 54,Female,White,30 or more years,Administrator,,CA,5,4,5,5,4,5,4,4,4,5,5,5,4,3,5,4,5,4,5,5,5,5,5,5,5,5
9/13/2019 12:39:09,35 - 39,Female,White,5 - 9 years,Teacher,Upper School,CA,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4
9/13/2019 12:51:31,45 - 49,Female,Black or African American,15 - 19 years,Teacher,Upper School,CA,5,3,5,4,5,4,4,2,3,3,4,3,4,4,4,4,4,3,4,3,2,4,3,4,4,5
9/13/2019 13:03:38,30 - 34,Female,White,5 - 9 years,Teacher,Upper School,CA,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,4,4,5,4,5,5,4,5,5
9/13/2019 13:29:50,25 - 29,Female,White,5 - 9 years,Teacher,Middle School,CA,5,5,5,4,3,5,5,3,4,4,5,5,2,4,5,3,5,4,4,5,4,4,4,4,5,4
9/13/2019 18:02:23,40 - 44,Female,Asian,5 - 9 years,Administrator,,CA,4,4,4,4,4,4,3,3,4,5,5,5,4,5,4,3,4,4,5,3,4,4,5,4,4,4
9/13/2019 19:33:48,40 - 44,Female,White,20 - 24 years,Administrator,,CA,2,4,5,4,4,4,5,3,3,5,5,5,5,5,5,5,5,5,3,5,3,5,5,3,5,5
9/13/2019 19:35:27,40 - 44,Female,White,20 - 24 years,Teacher,Upper School,CA,3,4,4,4,4,,4,2,3,5,5,5,4,3,2,4,4,5,5,1,4,5,5,5,5,5
9/13/2019 20:10:03,60 - 64,Female,White,30 or more years,Teacher,Upper School,CA,2,5,5,5,5,5,5,3,5,5,3,3,4,5,5,5,5,5,5,5,3,3,3,5,4,5
9/13/2019 20:51:53,35 - 39,Female,White,10 - 14 years,Administrator,Upper School,CA,3,3,4,4,4,4,3,1,2,3,5,3,3,5,4,3,3,5,5,3,4,5,4,4,5,4
9/13/2019 21:24:46,40 - 44,Female,White,20 - 24 years,Teacher,Upper School,CA,3,4,5,5,3,4,5,3,3,5,4,5,4,1,4,5,4,4,2,5,4,4,3,4,4,2
9/13/2019 21:54:02,45 - 49,Female,White,25 - 29 years,Teacher,Lower School,CA,1,4,5,5,5,5,4,4,5,5,5,5,4,5,4,4,5,5,4,4,5,5,5,5,5,5
9/13/2019 23:15:34,40 - 44,Female,Asian,15 - 19 years,Teacher,Upper School,CA,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9/13/2019 23:18:44,40 - 44,Female,White,15 - 19 years,Teacher,Lower School,CA,5,5,4,5,4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4,5,5,4,4
9/14/2019 10:08:59,30 - 34,Female,White,5 - 9 years,Teacher,Middle School,CA,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,3
9/14/2019 10:33:39,45 - 49,Female,Asian,10 - 14 years,Teacher,Lower School,CA,5,4,5,4,3,4,5,3,5,5,5,5,5,5,5,4,5,4,3,5,5,4,5,5,5,5
9/14/2019 14:52:06,25 - 29,Female,White,5 - 9 years,Teacher,Lower School,CA,4,4,5,5,4,5,3,2,3,5,5,3,4,5,4,4,4,5,2,4,4,5,3,5,4,3
9/14/2019 15:39:42,35 - 39,Female,White,10 - 14 years,Administrator,Upper School,CA,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9/14/2019 18:24:08,younger than 25 years old,Female,White,0 - 4 years,Teacher,Lower School,CA,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9/14/2019 19:53:47,60 - 64,Female,White,,Teacher,Upper School,CA,3,3,5,4,4,4,3,4,5,5,4,4,3,4,4,4,4,5,4,4,4,5,4,4,5,5
9/15/2019 11:00:57,35 - 39,Female,White,0 - 4 years,Teacher,Lower School,CA,4,4,4,5,4,4,3,2,3,3,4,4,3,4,3,3,3,3,4,2,3,3,3,3,3,3
9/15/2019 14:12:18,55 - 59,Female,White,25 - 29 years,,Upper School,CA,2,3,5,5,5,3,5,4,4,5,5,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5
9/15/2019 23:02:14,30 - 34,Female,White,5 - 9 years,Teacher,Upper School,CA,5,4,4,4,3,4,1,2,3,5,4,4,2,3,3,2,3,4,4,4,4,4,4,4,4,4
9/16/2019 0:35:21,40 - 44,Female,White,15 - 19 years,Teacher,Upper School,CA,5,4,5,5,5,3,3,4,4,5,5,3,5,4,5,3,4,5,3,3,3,5,4,3,5,5
9/16/2019 9:05:44,60 - 64,Female,White,30 or more years,Administrator,Upper School,CA,4,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
9/16/2019 9:23:08,60 - 64,Female,White,0 - 4 years,Support Staff,,CA,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5
9/16/2019 9:35:06,30 - 34,Female,White,5 - 9 years,Teacher,Lower School,CA,3,4,4,3,2,4,2,3,3,5,5,2,3,3,4,4,4,4,2,2,2,4,4,2,3,3
9/16/2019 10:51:38,40 - 44,Female,White,5 - 9 years,Administrator,,CA,5,4,3,4,4,3,4,3,4,5,5,4,4,4,5,4,4,4,4,3,4,4,5,4,3,3
9/16/2019 10:59:58,30 - 34,Female,Prefer not to answer,5 - 9 years,Teacher,Upper School,CA,5,4,5,5,5,5,4,1,4,4,5,5,4,5,5,2,5,4,5,4,1,5,5,5,5,4
