Index,Date,Result,Opponent,Min,Pts,FGM,FGA,FG%,PPS,AFG%,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,Chr,Defl,TF,DD,TD,Pts/32,Ast/32,Reb/32,Stl/32,Blk/32,TO/32,PF/32,Day
1,27-Nov,L 25-59,Eastside College Prep,17,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,0,0,0,0,0,1.9,0,27
2,4-Dec,W 62-49,Crystal Springs Uplands,21,11,3,5,60,2.2,80,2,4,50,3,4,75,1,1,100,0,3,3,1,2,0,1,3,1,2,0.67,0,,0,,,,16.8,1.5,4.6,3,0,1.5,4.6,4
3,7-Dec,L 28-47,Palma,25,2,0,1,0,2,0,0,1,0,2,2,100,0,0,0,0,2,2,2,1,0,5,0,0.4,0.2,1,0,,0,,,,2.6,2.6,2.6,1.3,0,6.4,0,7
4,8-Dec,W 42-41,Pacific Grove,25,8,3,4,75,2,100,2,2,100,0,0,0,1,2,50,0,0,0,1,0,0,3,0,0.33,0,0,0,,0,,,,10.2,1.3,0,0,0,3.8,0,8
5,11-Dec,W 45-38,Oakwood,29,1,0,5,0,0.2,0,0,5,0,1,2,50,0,0,0,0,1,1,7,0,0,0,0,7,0,0,0,,0,,,,1.1,7.7,1.1,0,0,0,0,11
6,12-Dec,W 48-36,Woodside Priory,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,3,0,1.33,0,0,0,,0,,,,0,5.1,1.3,0,0,3.8,0,12
7,18-Dec,W 77-29,Kehillah,21,10,3,3,100,3.3,133,2,2,100,2,2,100,1,1,100,1,2,3,3,4,0,1,0,3,4,4,0,,0,,,,15.2,4.6,4.6,6.1,0,1.5,0,18
8,27-Dec,L 34-43,Head-Royce,29,9,4,8,50,1.1,56,1,4,25,0,0,0,3,4,75,1,2,3,4,1,1,4,0,1,0.25,1,1,,0,,,,9.9,4.4,3.3,1.1,1.1,4.4,0,27
9,28-Dec,W 43-24,Envision Academy,30,2,1,5,20,0.4,20,0,1,0,0,0,0,1,4,25,1,2,3,4,2,0,5,0,0.8,0.4,2,0,,0,,,,2.1,4.3,3.2,2.1,0,5.3,0,28
10,29-Dec,L 40-53,Pacific Ridge,28,10,3,7,43,1.4,57,2,3,67,2,2,100,1,4,25,3,3,6,4,1,0,3,0,1.33,0.33,1,0,,0,,,,11.4,4.6,6.9,1.1,0,3.4,0,29
11,10-Jan,W 59-14,Design Tech,20,6,2,5,40,1.2,50,1,2,50,1,2,50,1,3,33,4,1,5,1,5,0,0,1,1,5,5,0,,0,,,,9.6,1.6,8,8,0,0,1.6,10
12,11-Jan,W 58-17,Summit Preparatory,17,17,5,10,50,1.7,75,5,9,56,2,2,100,0,1,0,1,0,1,1,2,0,1,1,1,2,2,0,,0,,,,32,1.9,1.9,3.8,0,1.9,1.9,11
13,15-Jan,W 81-6,San Francisco Christian,15,2,1,3,33,0.7,33,0,1,0,0,0,0,1,2,50,0,0,0,5,4,0,1,0,5,4,4,0,,0,,,,4.3,10.7,0,8.5,0,2.1,0,15
14,17-Jan,W 60-52,Summit Shasta,27,14,5,7,71,2,93,3,5,60,1,2,50,2,2,100,0,3,3,2,2,1,3,1,0.67,0.67,2,1,,0,,,,16.6,2.4,3.6,2.4,1.2,3.6,1.2,17
15,22-Jan,W 59-40,Mid-Peninsula,17,6,2,6,33,1,50,2,4,50,0,0,0,0,2,0,0,1,1,1,4,1,3,0,0.33,1.33,4,1,,0,,,,11.3,1.9,1.9,7.5,1.9,5.6,0,22
16,24-Jan,W 62-49,Pacific Bay Christian,29,6,2,5,40,1.2,40,0,1,0,2,2,100,2,4,50,4,0,4,0,4,0,2,1,0,2,4,0,,0,,,,6.6,0,4.4,4.4,0,2.2,1.1,24
17,28-Jan,W 43-27,Kehillah,27,2,1,2,50,1,50,0,1,0,0,0,0,1,1,100,0,2,2,3,4,0,1,1,3,4,4,0,,0,,,,2.4,3.6,2.4,4.7,0,1.2,1.2,28
18,31-Jan,W 63-33,Design Tech,17,6,2,4,50,1.5,75,2,3,67,0,0,0,0,1,0,0,2,2,4,3,0,0,3,4,3,1,0,,0,,,,11.3,7.5,3.8,5.6,0,0,5.6,31
19,1-Feb,W 81-47,Summit Preparatory,19,8,4,4,100,2,100,0,0,0,0,0,0,4,4,100,0,1,1,1,3,0,0,0,1,3,3,0,,0,,,,13.5,1.7,1.7,5.1,0,0,0,1
20,7-Feb,W 65-38,Summit Shasta,27,15,6,11,55,1.4,64,2,4,50,1,1,100,4,7,57,1,2,3,3,3,0,2,1,1.5,1.5,3,0,,0,,,,17.8,3.6,3.6,3.6,0,2.4,1.2,7
21,11-Feb,W 60-39,Mid-Peninsula,14,3,1,2,50,1.5,75,1,2,50,0,0,0,0,0,0,0,1,1,3,1,0,0,2,3,1,0.5,0,,0,,,,6.9,6.9,2.3,2.3,0,0,4.6,11
22,12-Feb,W 49-46,Pacific Bay Christian,31,15,5,11,45,1.4,55,2,5,40,3,3,100,3,6,50,0,3,3,1,3,0,1,1,1,3,3,0,,0,,,,15.5,1,3.1,3.1,0,1,1,12
23,19-Feb,W 48-42,Woodside Priory,30,5,1,5,20,1,20,0,2,0,3,6,50,1,3,33,0,1,1,2,2,0,1,1,2,2,2,0,,0,,,,5.3,2.1,1.1,2.1,0,1.1,1.1,19
24,21-Feb,W 65-54,St. Francis,29,7,2,2,100,3.5,125,1,1,100,2,2,100,1,1,100,0,2,2,2,0,0,3,0,0.67,0,0,0,,0,,,,7.7,2.2,2.2,0,0,3.3,0,21
25,23-Feb,L 47-55,Eastside College Prep,30,4,2,11,18,0.4,18,0,4,0,0,0,0,2,7,29,0,1,1,4,3,1,4,1,1,0.75,3,1,,0,,,,4.3,4.3,1.1,3.2,1.1,4.3,1.1,23
26,26-Feb,W 79-66,Liberty,27,8,1,4,25,2,25,0,2,0,6,8,75,1,2,50,1,2,3,2,1,0,3,4,0.67,0.33,0.25,0,,0,,,,9.5,2.4,3.6,1.2,0,3.6,4.7,26
27,28-Feb,L 51-54,Eastside College Prep,31,13,4,5,80,2.6,90,1,2,50,4,4,100,3,3,100,1,0,1,3,4,0,4,1,0.75,1,4,0,,0,,,,13.4,3.1,1,4.1,0,4.1,1,28