PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,CONFERENCE
Giannis Antetokounmpo,MIL,24,72,56,16,32.8,27.7,10,17.3,57.8,0.7,2.8,25.6,6.9,9.5,72.9,2.2,10.3,12.5,5.9,3.7,1.3,1.5,3.2,56.2,54,5,9.1,EAST
Joel Embiid,PHI,25,64,43,21,33.7,27.5,9.1,18.7,48.4,1.2,4.1,30,8.2,10.1,80.4,2.5,11.1,13.6,3.7,3.5,0.7,1.9,3.3,53.7,58,2,5.8,EAST
Kawhi Leonard,TOR,28,60,41,19,34,26.6,9.3,18.8,49.6,1.9,5,37.1,6.1,7.1,85.4,1.3,6,7.3,3.3,2,1.8,0.4,1.5,44.8,14,0,5.9,EAST
Kemba Walker,CHA,29,82,39,43,34.9,25.6,8.9,20.5,43.4,3.2,8.9,35.6,4.6,5.5,84.4,0.6,3.8,4.4,5.9,2.6,1.2,0.4,1.6,42.2,10,0,0.4,EAST
Bradley Beal,WAS,26,82,32,50,36.9,25.6,9.3,19.6,47.5,2.5,7.3,35.1,4.4,5.5,80.8,1.1,3.9,5,5.5,2.7,1.5,0.7,2.8,43.6,11,2,-1.4,EAST
Blake Griffin,DET,30,75,39,36,35,24.5,8.3,17.9,46.2,2.5,7,36.2,5.5,7.3,75.3,1.3,6.2,7.5,5.4,3.4,0.7,0.4,2.7,41.5,21,2,0.5,EAST
Kyrie Irving,BOS,27,67,37,30,33,23.8,9,18.5,48.7,2.6,6.5,40.1,3.2,3.7,87.3,1.1,3.9,5,6.9,2.6,1.5,0.5,2.5,43.8,21,1,5,EAST
Zach LaVine,CHI,24,63,16,47,34.5,23.7,8.4,18,46.7,1.9,5.1,37.4,5,6,83.2,0.6,4,4.7,4.5,3.4,1,0.4,2.2,36.7,2,0,-4.8,EAST
D'Angelo Russell,BKN,23,81,42,39,30.2,21.1,8.1,18.7,43.4,2.9,7.8,36.9,2,2.5,78,0.7,3.2,3.9,7,3.1,1.2,0.2,1.7,37.5,14,0,0.3,EAST
Nikola Vucevic,ORL,28,80,41,39,31.4,20.8,8.8,16.9,51.8,1.1,2.9,36.4,2.2,2.8,78.9,2.8,9.2,12,3.8,2,1,1.1,2,45.4,60,1,2.7,EAST
John Wall,WAS,28,32,11,21,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8,EAST
JaKarr Sampson,CHI,26,4,1,3,31.8,20,7.3,13.5,53.7,1.3,3.5,35.7,4.3,5.3,81,1.3,6.8,8,1,1,1,0.8,2,35.4,0,0,-1.8,EAST
John Collins,ATL,21,61,24,37,30,19.5,7.6,13.6,56,0.9,2.6,34.8,3.3,4.4,76.3,3.6,6.2,9.8,2,2,0.4,0.6,3.3,35.2,32,0,-1.2,EAST
Tim Hardaway Jr.,DAL,27,46,10,36,32.6,19.1,6.1,15.8,38.8,2.5,7.3,34.7,4.3,5.1,85.4,0.6,2.9,3.5,2.7,1.8,0.9,0.1,2.3,28.7,2,0,-7.2,EAST
Trae Young,ATL,20,81,29,52,30.9,19.1,6.5,15.5,41.8,1.9,6,32.4,4.2,5.1,82.9,0.8,2.9,3.7,8.1,3.8,0.9,0.2,1.7,35.1,30,1,-4.1,EAST
Victor Oladipo,IND,27,36,25,11,31.9,18.8,6.9,16.3,42.3,2.1,6,34.3,2.9,3.9,73,0.6,5,5.6,5.2,2.3,1.7,0.3,2,36.9,5,0,3.5,EAST
Lauri Markkanen,CHI,22,52,16,36,32.3,18.7,6.6,15.3,43,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8,EAST
Khris Middleton,MIL,27,77,56,21,31.1,18.3,6.6,14.9,44.1,2.3,6.2,37.8,2.8,3.4,83.7,0.6,5.3,6,4.3,2.3,1,0.1,2.2,33,7,0,7.2,EAST
Tobias Harris,PHI,26,27,16,11,35,18.2,6.9,14.8,46.9,1.6,5,32.6,2.7,3.3,84.1,1.2,6.7,7.9,2.9,1.6,0.4,0.5,2.3,33.2,4,0,0.1,EAST
Jimmy Butler,PHI,29,55,35,20,33.2,18.2,6.3,13.6,46.1,0.9,2.7,33.8,4.8,5.5,86.8,1.9,3.4,5.3,4,1.5,1.8,0.5,1.7,36.1,3,0,4,EAST
JJ Redick,PHI,35,76,49,27,31.3,18.1,5.9,13.5,44,3.2,8,39.7,3,3.4,89.4,0.3,2.2,2.4,2.7,1.3,0.4,0.2,1.7,25.7,1,0,4,EAST
Bojan Bogdanovic,IND,30,81,47,34,31.8,18,6.4,13,49.7,2,4.8,42.5,3,3.8,80.7,0.4,3.7,4.1,2,1.7,0.9,0,1.7,26.8,0,0,2.2,EAST
Andre Drummond,DET,25,79,40,39,33.5,17.3,7.1,13.3,53.3,0.1,0.5,13.2,3.1,5.2,59,5.4,10.2,15.6,1.4,2.2,1.7,1.7,3.4,46.4,69,0,2.2,EAST
Kevin Love,CLE,30,22,7,15,27.2,17,5,12.9,38.5,2.4,6.7,36.1,4.7,5.2,90.4,1.5,9.4,10.9,2.2,1.9,0.3,0.2,2.5,32.9,12,0,-2.5,EAST
RJ Hunter,BOS,25,1,1,0,25.7,17,6,13,46.2,4,10,40,1,2,50,1,2,3,3,0,1,0,3,28.1,0,0,28,EAST
Pascal Siakam,TOR,25,80,57,23,31.8,16.9,6.5,11.8,54.9,1,2.7,36.9,3,3.8,78.5,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3,32.6,18,0,7.4,EAST
Ben Simmons,PHI,22,79,50,29,34.2,16.9,6.8,12.2,56.3,0,0.1,0,3.3,5.4,60,2.2,6.6,8.8,7.7,3.5,1.4,0.8,2.6,42.2,42,10,1.5,EAST
Jordan Clarkson,CLE,27,81,18,63,27.3,16.8,6.5,14.6,44.8,1.8,5.5,32.4,2,2.4,84.4,1,2.3,3.3,2.4,1.7,0.7,0.2,1.4,25.4,1,0,-4.3,EAST
Spencer Dinwiddie,BKN,26,68,36,32,28.1,16.8,5.4,12.2,44.2,1.8,5.4,33.5,4.2,5.2,80.6,0.4,2.1,2.4,4.6,2.2,0.6,0.3,2.8,26.9,2,0,-1.2,EAST
Collin Sexton,CLE,20,82,19,63,31.8,16.7,6.3,14.7,43,1.5,3.6,40.2,2.6,3.1,83.9,0.7,2.2,2.9,3,2.3,0.5,0.1,2.3,24.2,2,0,-8.2,EAST
Josh Richardson,MIA,25,73,35,38,34.8,16.6,5.8,14.1,41.2,2.2,6.3,35.7,2.7,3.2,86.1,0.7,2.9,3.6,4.1,1.5,1.1,0.5,2.7,30.1,1,0,0.9,EAST
Aaron Gordon,ORL,23,78,40,38,33.8,16,6,13.4,44.9,1.6,4.4,34.9,2.4,3.2,73.1,1.7,5.7,7.4,3.7,2.1,0.7,0.7,2.2,32.6,19,0,1.4,EAST
Eric Bledsoe,MIL,29,78,59,19,29.1,15.9,6,12.4,48.4,1.6,4.8,32.9,2.3,3,75,1.1,3.6,4.6,5.5,2.1,1.5,0.4,2,33.2,8,1,7.2,EAST
Jayson Tatum,BOS,21,79,48,31,31.1,15.7,5.9,13.1,45,1.5,3.9,37.3,2.5,2.9,85.5,0.9,5.2,6,2.1,1.5,1.1,0.7,2.1,30,8,0,4.6,EAST
Malcolm Brogdon,MIL,26,64,49,15,28.6,15.6,5.9,11.7,50.5,1.6,3.8,42.6,2.2,2.4,92.8,1,3.5,4.5,3.2,1.4,0.7,0.2,1.6,27.2,0,0,6.6,EAST
Reggie Jackson,DET,29,82,41,41,27.9,15.4,5.4,12.8,42.1,2.1,5.7,36.9,2.5,2.9,86.4,0.5,2.1,2.6,4.2,1.8,0.7,0.1,2.5,25.4,0,0,0.5,EAST
Jeremy Lamb,CHA,27,79,38,41,28.5,15.3,5.5,12.4,44,1.5,4.2,34.8,2.9,3.3,88.8,0.8,4.7,5.5,2.2,1,1.1,0.4,1.8,28.7,7,0,0.6,EAST
Evan Fournier,ORL,26,81,42,39,31.5,15.1,5.8,13.2,43.8,1.9,5.6,34,1.7,2.1,80.6,0.5,2.7,3.2,3.6,1.9,0.9,0.1,2.8,25.6,1,0,1.2,EAST
Terrence Ross,ORL,28,81,42,39,26.5,15.1,5.4,12.7,42.8,2.7,7,38.3,1.6,1.8,87.5,0.3,3.1,3.5,1.7,1.1,0.9,0.4,1.5,24.4,0,0,0.1,EAST
Dwyane Wade,MIA,37,72,35,37,26.2,15,5.8,13.3,43.3,1.2,3.6,33,2.3,3.2,70.8,1,3,4,4.2,2.3,0.8,0.5,1.6,27.8,4,1,-0.9,EAST
Serge Ibaka,TOR,29,74,53,21,27.2,15,6.3,11.9,52.9,0.7,2.3,29,1.8,2.4,76.3,2.1,6,8.1,1.3,1.5,0.4,1.4,2.9,30.6,22,0,3.5,EAST
Emmanuel Mudiay,NYK,23,59,13,46,27.2,14.8,5.6,12.5,44.6,1.2,3.6,32.9,2.4,3.2,77.4,0.6,2.8,3.3,3.9,2.4,0.7,0.3,1.7,25.4,1,0,-6.1,EAST
Dennis Smith Jr.,NYK,21,21,5,16,28.6,14.7,5.8,14,41.3,1.1,4,28.9,2,3.5,56.8,0.7,2.1,2.8,5.4,2.6,1.3,0.4,2.2,28.7,1,0,-4.7,EAST
Jabari Parker,WAS,24,64,18,46,26.9,14.5,5.8,11.7,49.3,1,3,31.3,2,2.9,71.2,1.2,5.3,6.6,2.4,2.4,0.7,0.5,2.3,27.2,8,0,-3.2,EAST
Walter Lemon Jr.,CHI,26,6,1,5,27.9,14.3,6.3,14.5,43.7,0.3,0.8,40,1.3,1.8,72.7,0.7,3.8,4.5,5,1.7,1.8,0.2,2.3,31.6,0,0,-3.8,EAST
Kyle Lowry,TOR,33,65,47,18,34.1,14.2,4.7,11.4,41.1,2.4,7,34.7,2.5,3,83,0.6,4.2,4.8,8.7,2.8,1.4,0.5,2.6,35.9,20,2,8.2,EAST
Bobby Portis,WAS,24,50,14,36,26,14.2,5.6,12.6,44.4,1.5,3.8,39.3,1.5,1.9,79.4,2.2,5.9,8.1,1.4,1.5,0.7,0.4,2.9,27.9,14,0,-2.2,EAST
Domantas Sabonis,IND,23,74,43,31,24.8,14.1,5.6,9.5,59,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,30.6,30,0,2.6,EAST
Trevor Ariza,WAS,33,43,18,25,34.1,14.1,4.8,11.8,40.9,2.2,6.9,32.2,2.2,2.8,77.7,0.8,4.5,5.3,3.8,1.6,1.2,0.3,2,29.2,4,0,-1.3,EAST
Enes Kanter,POR,27,44,10,34,25.6,14,5.7,10.6,53.6,0.2,0.5,31.8,2.4,2.9,81.4,3.9,6.6,10.5,1.9,1.8,0.4,0.4,2.4,30,25,0,-4.9,EAST
Marcus Morris,BOS,29,75,44,31,27.9,13.9,5,11.3,44.7,1.9,5.2,37.5,1.9,2.3,84.4,1,5.1,6.1,1.5,1.2,0.6,0.3,2.4,24.9,5,0,1,EAST
Otto Porter Jr.,CHI,26,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4,EAST
Goran Dragic,MIA,33,36,16,20,27.5,13.7,5,12,41.3,1.6,4.6,34.8,2.2,2.8,78.2,0.6,2.5,3.1,4.8,2,0.8,0.1,2.3,25.6,4,1,1.2,EAST
Joe Harris,BKN,27,76,41,35,30.2,13.7,4.9,9.8,50,2.4,5.1,47.4,1.4,1.8,82.7,0.7,3.1,3.8,2.4,1.6,0.5,0.2,2.4,22.4,0,0,-1,EAST
Caris LeVert,BKN,24,40,19,21,26.6,13.7,5.2,12.1,42.9,1.2,3.9,31.2,2.1,3.1,69.1,0.9,2.9,3.8,3.9,1.7,1.1,0.4,1.9,26.5,0,0,-0.3,EAST
Al Horford,BOS,33,68,41,27,29,13.6,5.7,10.6,53.5,1.1,3,36,1.1,1.4,82.1,1.8,5,6.7,4.2,1.5,0.9,1.3,1.9,32.8,10,1,3.8,EAST
Taurean Prince,ATL,25,55,19,36,28.2,13.5,4.8,10.8,44.1,2.2,5.7,39,1.7,2.1,81.9,0.4,3.2,3.6,2.1,1.8,1,0.3,2.6,23.2,0,0,-4.4,EAST
Myles Turner,IND,23,74,43,31,28.6,13.3,5.1,10.5,48.7,1,2.6,38.8,2,2.7,73.6,1.4,5.8,7.2,1.6,1.4,0.8,2.7,2.6,33.4,17,0,1.6,EAST
Cedi Osman,CLE,24,76,17,59,32.2,13,4.7,11.1,42.7,1.7,4.9,34.8,1.9,2.4,77.9,0.6,4.1,4.7,2.6,1.5,0.8,0.1,2.6,23.8,3,0,-8.4,EAST
Jaylen Brown,BOS,22,74,41,33,25.9,13,5,10.7,46.5,1.3,3.7,34.4,1.8,2.7,65.8,0.9,3.4,4.2,1.4,1.3,0.9,0.4,2.5,22.9,2,0,0.9,EAST
Kelly Oubre Jr.,PHX,23,29,11,18,26,12.9,4.6,10.5,43.3,1.4,4.6,31.1,2.3,2.9,80,0.8,3.6,4.4,0.7,1,0.9,0.7,2.4,23.1,0,0,-4.5,EAST
Kevin Knox,NYK,19,75,15,60,28.8,12.8,4.5,12.2,37,1.7,4.9,34.3,2.2,3,71.7,0.8,3.7,4.5,1.1,1.5,0.6,0.3,2.3,21,3,0,-8.5,EAST
Jonas Valanciunas,MEM,27,30,23,7,18.8,12.8,5,8.6,57.5,0.3,1,30,2.6,3.1,81.9,1.8,5.4,7.2,1,1.3,0.4,0.8,2.7,25.2,5,0,2.3,EAST
Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6,EAST
Thaddeus Young,IND,31,81,47,34,30.7,12.6,5.5,10.4,52.7,0.6,1.8,34.9,1.1,1.7,64.4,2.4,4.1,6.5,2.5,1.5,1.5,0.4,2.4,28.5,10,0,1.7,EAST
Justise Winslow,MIA,23,66,30,36,29.7,12.6,4.9,11.3,43.3,1.5,3.9,37.5,1.3,2.1,62.8,1,4.4,5.4,4.3,2.2,1.1,0.3,2.7,27.4,6,0,1.8,EAST
Brook Lopez,MIL,31,81,60,21,28.7,12.5,4.4,9.7,45.2,2.3,6.3,36.5,1.4,1.6,84.2,0.4,4.5,4.9,1.2,1,0.6,2.2,2.3,27.6,2,0,7.2,EAST
Hassan Whiteside,MIA,30,72,33,39,23.3,12.3,5.4,9.4,57.1,0,0.2,12.5,1.5,3.4,44.9,3.6,7.8,11.3,0.8,1.3,0.6,1.9,2.7,33.3,36,0,0.3,EAST
Jeff Green,WAS,32,77,29,48,27.2,12.3,4.2,8.9,47.5,1.4,4.2,34.7,2.4,2.7,88.8,0.7,3.3,4,1.8,1.3,0.6,0.5,2.1,21.7,2,0,-1.2,EAST
Rodney Hood,POR,26,45,10,35,27.4,12.2,4.3,10.1,42.7,1.2,3.4,36.2,2.3,2.5,91.2,0.4,2.1,2.5,2,0.8,0.8,0.1,2.2,20.3,0,0,-6.7,EAST
Reggie Bullock,LAL,28,44,23,21,30.8,12.1,4.1,10,41.3,2.6,6.7,38.8,1.3,1.5,87.5,0.5,2.3,2.8,2.5,1.2,0.5,0.1,1.8,20,0,0,0.3,EAST
Dion Waiters,MIA,27,44,20,24,25.9,12,4.5,10.9,41.4,2.5,6.6,37.7,0.5,1,50,0.2,2.5,2.6,2.8,1.5,0.7,0.2,1.6,20.4,0,0,-0.9,EAST
Trey Burke,DAL,26,33,8,25,20.9,11.8,4.5,10.8,41.3,0.9,2.6,34.9,1.9,2.3,82.7,0.5,1.4,1.9,2.8,0.9,0.6,0.2,1,19.8,1,0,-2.7,EAST
D.J. Augustin,ORL,31,81,42,39,28,11.7,3.9,8.4,47,1.6,3.8,42.1,2.2,2.6,86.6,0.5,2,2.5,5.3,1.6,0.6,0,1.4,23.1,4,0,2.1,EAST
Alec Burks,SAC,27,34,7,27,28.8,11.6,4,10,40,1.3,3.5,37.8,2.3,2.9,80.6,0.8,4.7,5.5,2.9,1.4,0.7,0.5,1.8,24.8,1,0,-7.6,EAST
Nikola Mirotic,MIL,28,14,10,4,22.9,11.6,4,9.6,41.5,2.2,6.2,35.6,1.4,1.6,87,1,4.4,5.4,1.4,0.8,0.7,0.6,1.5,23.5,0,0,6.1,EAST
Kent Bazemore,ATL,29,67,24,43,24.5,11.6,4.1,10.3,40.2,1.4,4.5,32,1.9,2.6,72.6,0.6,3.3,3.9,2.3,1.8,1.3,0.6,2.5,23.8,0,0,-4.4,EAST
Justin Holiday,MEM,30,38,10,28,34.9,11.6,4,10.4,38.3,2.6,7.1,35.9,1.1,1.2,89.1,0.5,3.9,4.4,2.2,1.2,1.8,0.6,2.1,26,3,0,-8.2,EAST
Markieff Morris,OKC,29,34,13,21,26,11.5,4.2,9.6,43.6,1.4,4.2,33.3,1.7,2.1,78.1,1.2,3.9,5.1,1.8,1.4,0.7,0.6,3.4,22.9,1,0,-4.7,EAST
Gordon Hayward,BOS,29,72,44,28,25.9,11.5,4.1,8.8,46.6,1.1,3.2,33.3,2.2,2.6,83.4,0.7,3.8,4.5,3.4,1.5,0.9,0.3,1.4,24,2,0,3,EAST
Robert Covington,MIN,28,13,8,5,33.8,11.3,3.8,9,42.7,2.3,5.9,39,1.3,1.8,73.9,0.5,4.6,5.2,1.1,1.7,1.8,1.8,3.5,28.3,1,0,1.4,EAST
Kris Dunn,CHI,25,46,14,32,30.2,11.3,4.7,11,42.5,0.7,2.1,35.4,1.2,1.5,79.7,0.4,3.7,4.1,6,2.3,1.5,0.5,3.6,28.7,2,0,-4.8,EAST
Darren Collison,IND,31,76,45,31,28.2,11.2,4.1,8.7,46.7,1,2.6,40.7,2.1,2.5,83.2,0.5,2.6,3.1,6,1.6,1.4,0.1,1.8,27,6,0,1.6,EAST
DeMarre Carroll,BKN,32,67,36,31,25.4,11.1,3.4,8.6,39.5,1.6,4.6,34.2,2.7,3.6,76,1,4.2,5.2,1.3,1.1,0.5,0.1,1.7,20,3,0,0.7,EAST
Alex Len,ATL,26,77,28,49,20.1,11.1,4.2,8.4,49.4,1,2.6,36.3,1.8,2.8,64.8,2.1,3.5,5.5,1.1,1.3,0.4,0.9,2.6,21.9,9,0,-2.1,EAST
Dario Saric,MIN,25,13,8,5,30.5,11.1,3.7,10.2,36.4,1.6,5.4,30,2.1,2.3,90,1.6,5,6.6,2,1.9,0.3,0.2,3,21.7,1,0,-2,EAST
Fred VanVleet,TOR,25,64,46,18,27.5,11,3.8,9.4,41,1.8,4.6,37.8,1.5,1.8,84.3,0.3,2.3,2.6,4.8,1.3,0.9,0.3,1.7,23.6,1,0,4.7,EAST
Tristan Thompson,CLE,28,43,8,35,27.9,10.9,4.7,8.8,52.9,0,0,0,1.6,2.5,64.2,4,6.2,10.2,2,1.4,0.7,0.4,2.1,27.9,19,0,-7,EAST
Jarrett Allen,BKN,21,80,42,38,26.2,10.9,4.2,7.1,59,0.1,0.6,13.3,2.5,3.5,70.9,2.4,6,8.4,1.4,1.3,0.5,1.5,2.3,27.9,24,0,-1.5,EAST
DeAndre Jordan,NYK,30,19,2,17,26,10.9,4.1,6.5,63.4,0,0,0,2.7,3.5,77.3,3.4,8,11.4,3,2.2,0.5,1.1,2.2,31.4,12,0,-10.4,EAST
Allonzo Trier,NYK,23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2,EAST
Dewayne Dedmon,ATL,29,64,24,40,25.1,10.8,4,8.2,49.2,1.3,3.4,38.2,1.4,1.8,81.4,1.6,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.2,11,0,-2.7,EAST
Tyler Johnson,PHX,27,44,21,23,25.5,10.8,3.9,9.1,42.6,1.6,4.6,35.3,1.4,2,69.3,0.4,2.3,2.8,2.5,1.4,0.9,0.5,1.6,20.6,0,0,-1.4,EAST
Damyean Dotson,NYK,25,73,12,61,27.4,10.7,4,9.6,41.5,1.7,4.7,36.8,1,1.3,74.5,0.5,3.1,3.6,1.8,1,0.8,0.1,1.8,19.6,1,0,-4.5,EAST
Wesley Matthews,IND,32,25,8,17,31.2,10.6,3.4,9.2,37.1,2,5.6,35.7,1.8,2.1,84.9,0.5,2.2,2.7,2.4,1.3,0.8,0.2,2.3,19.3,0,0,-2,EAST
