PLAYER,TEAM,AGE,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",BLK,BLKA,PF,PFD,
Giannis Antetokounmpo,MIL,27,67,45,22,32.9,4.0,3.2,4.3,15.9,10.3,8.1,6.6,28.3,1.4,0.9,3.2,8.8,
Joel Embiid,PHI,28,68,45,23,33.8,3.8,3.0,1.9,12.0,9.5,8.8,10.0,32.6,1.5,1.2,2.7,8.5,
Nikola Jokic,DEN,27,74,46,28,33.5,3.0,3.8,1.7,16.2,12.2,7.9,8.4,35.2,0.9,0.9,2.6,6.5,
Luka Doncic,DAL,23,65,44,21,35.4,3.3,1.8,1.1,11.0,10.5,10.5,9.2,35.9,0.6,0.7,2.2,6.2,
Trae Young,ATL,23,76,40,36,34.9,4.0,1.9,2.2,8.9,11.0,9.4,9.1,35.6,0.1,1.2,1.7,5.9,
Kevin Durant,BKN,33,55,36,19,37.2,3.6,2.1,3.5,8.6,14.0,10.7,11.1,35.1,0.9,0.7,2.1,5.9,
Rudy Gobert,UTA,29,66,42,24,32.1,1.9,4.5,0.7,11.0,10.7,7.8,7.9,28.0,2.1,0.7,2.7,5.8,
Ja Morant,MEM,22,57,36,21,33.1,3.9,2.9,4.4,16.6,10.3,8.5,9.0,33.1,0.4,1.7,1.5,5.8,
James Harden,PHI,32,65,40,25,37.2,3.0,1.8,2.2,7.3,13.1,9.7,11.8,37.3,0.6,1.4,2.4,5.8,
Karl-Anthony Towns,MIN,26,74,44,30,33.5,3.4,3.6,1.3,12.1,11.0,9.5,10.5,33.2,1.1,1.2,3.6,5.8,
Jimmy Butler,MIA,32,57,38,19,33.9,3.4,2.4,2.6,10.4,11.3,8.5,8.1,29.5,0.5,0.6,1.5,5.7,
DeMar DeRozan,CHI,32,76,43,33,36.1,3.4,1.7,1.5,9.9,10.8,9.8,8.9,37.3,0.3,1.1,2.3,5.7,
Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,3.0,1.9,1.9,12.0,11.1,9.7,7.9,34.4,0.8,1.1,2.5,5.5,
LeBron James,LAL,37,56,25,31,37.2,4.3,2.9,4.8,14.3,13.1,10.2,11.9,38.6,1.1,0.8,2.2,5.5,
Bam Adebayo,MIA,24,56,36,20,32.6,3.0,2.5,2.2,13.0,10.4,7.5,7.9,28.0,0.8,0.7,3.1,5.4,
Domantas Sabonis,SAC,26,62,21,41,34.4,2.1,3.5,1.3,12.5,11.7,8.6,9.2,34.9,0.4,0.7,3.3,5.2,
Damian Lillard,POR,31,29,12,17,36.4,2.8,1.7,1.9,6.3,12.4,8.0,10.1,37.9,0.4,0.8,1.3,5.2,
Anthony Davis,LAL,29,40,17,23,35.1,3.7,3.4,2.2,14.3,13.4,9.0,11.6,36.6,2.3,0.5,2.4,5.1,
Paul George,LAC,32,31,18,13,34.8,3.4,1.5,2.1,6.6,11.6,10.2,8.8,33.8,0.4,0.9,2.4,5.1,
Pascal Siakam,TOR,28,68,40,28,37.9,4.3,2.5,3.4,13.1,10.5,9.7,9.3,35.7,0.6,0.9,3.3,5.0,
Brandon Ingram,NOP,24,55,29,26,34.0,3.0,1.6,1.9,6.9,11.0,8.6,7.6,32.5,0.5,0.8,2.2,4.8,
De'Aaron Fox,SAC,24,59,22,37,35.3,2.6,1.3,2.8,11.7,12.6,10.6,10.1,38.6,0.4,0.8,2.9,4.8,
Christian Wood,HOU,26,68,19,49,30.8,2.3,2.4,1.0,8.8,14.0,9.0,10.6,33.4,1.0,0.7,2.5,4.6,
Devin Booker,PHX,25,68,56,12,34.5,4.6,1.7,4.1,7.7,10.4,10.8,8.2,32.8,0.4,0.9,2.6,4.6,
Julius Randle,NYK,27,72,32,40,35.3,3.0,3.1,1.3,8.1,11.8,9.1,10.1,33.0,0.5,0.9,2.8,4.6,
Kristaps Porzingis,WAS,26,51,26,25,29.0,2.3,2.6,1.5,8.2,8.4,6.4,7.2,26.8,1.6,0.6,2.7,4.6,
Jayson Tatum,BOS,24,76,49,27,35.9,3.6,2.1,3.0,10.1,10.5,9.1,8.5,30.8,0.6,1.1,2.3,4.5,
Jusuf Nurkic,POR,27,56,25,31,28.2,1.7,3.1,0.6,10.6,9.1,6.1,8.0,25.9,0.6,0.8,3.4,4.4,
Jaylen Brown,BOS,25,66,43,23,33.6,3.5,2.3,3.2,9.9,10.0,8.5,7.8,28.4,0.3,1.5,2.5,4.3,
Jarrett Allen,CLE,24,56,35,21,32.3,2.3,3.2,0.8,12.6,12.3,8.4,8.4,31.1,1.3,0.6,1.7,4.2,
Norman Powell,LAC,28,45,15,30,32.4,3.5,1.5,3.1,6.0,11.8,8.4,9.3,34.4,0.5,0.7,2.4,4.1,
Donovan Mitchell,UTA,25,67,41,26,33.8,3.2,1.9,2.0,9.5,11.5,9.5,8.0,32.8,0.2,0.7,2.4,4.1,
Jonas Valanciunas,NOP,30,74,34,40,30.3,1.9,3.8,0.5,10.8,9.7,7.2,7.1,27.5,0.8,0.6,3.3,4.1,
RJ Barrett,NYK,21,70,33,37,34.5,2.8,1.6,3.1,9.2,11.4,8.7,8.9,32.0,0.2,1.5,2.0,4.1,
Harrison Barnes,SAC,29,77,27,50,33.6,2.4,1.5,1.6,6.1,12.5,10.2,10.2,37.1,0.2,0.6,1.2,4.0,
Bradley Beal,WAS,28,40,17,23,36.0,3.0,2.0,2.1,10.3,12.5,9.8,5.9,36.3,0.4,0.9,2.4,4.0,
Zach LaVine,CHI,27,67,37,30,34.7,4.2,1.4,3.0,8.3,11.2,9.4,8.6,34.7,0.3,0.9,1.8,4.0,
Jerami Grant,DET,28,47,11,36,31.9,2.7,1.4,1.6,6.0,11.2,8.1,6.8,32.2,1.0,0.6,2.3,3.9,
Russell Westbrook,LAL,33,78,31,47,34.3,2.1,1.4,1.9,9.8,12.1,9.7,10.8,36.8,0.3,1.1,3.0,3.9,
Collin Sexton,CLE,23,11,7,4,28.8,2.9,2.0,3.0,9.1,13.8,7.6,8.9,28.2,0.0,1.5,2.3,3.9,
Kyrie Irving,BKN,30,29,14,15,37.6,3.1,2.1,3.5,8.8,12.0,11.0,9.6,35.7,0.6,0.9,2.8,3.8,
Malcolm Brogdon,IND,29,36,14,22,33.5,2.0,1.3,1.7,8.5,10.9,9.3,8.3,34.4,0.4,1.1,2.0,3.7,
Jaren Jackson Jr.,MEM,22,78,53,25,27.3,2.4,2.4,1.2,7.5,7.5,7.3,7.6,25.5,2.3,1.3,3.5,3.6,
Kyle Lowry,MIA,36,63,41,22,33.9,2.1,1.0,1.5,3.0,12.0,8.0,8.7,28.5,0.3,0.3,2.8,3.6,
Derrick White,BOS,27,75,40,35,29.3,1.6,0.9,1.8,5.2,8.3,8.9,6.7,29.6,0.8,0.4,2.3,3.6,
John Collins,ATL,24,54,26,28,30.8,2.0,2.0,0.8,8.6,9.9,7.7,7.5,28.9,1.0,0.7,3.0,3.6,
Stephen Curry,GSW,34,64,45,19,34.5,4.1,2.2,3.2,6.0,12.4,9.2,9.1,32.3,0.4,0.6,2.0,3.5,
Luguentz Dort,OKC,23,51,17,34,32.7,2.2,1.8,1.8,6.0,10.8,9.5,7.3,32.3,0.4,0.9,2.9,3.5,
Montrezl Harrell,CHA,28,71,36,35,23.1,1.6,2.7,1.3,9.4,7.4,6.0,4.5,22.9,0.6,0.5,1.9,3.5,
Miles Bridges,CHA,24,80,41,39,35.5,3.0,2.3,2.1,10.5,11.8,11.1,9.3,35.6,0.8,0.8,2.4,3.4,
Dillon Brooks,MEM,26,32,22,10,27.7,3.2,1.7,2.8,8.9,7.5,6.6,7.5,25.3,0.3,0.8,3.3,3.4,
Cole Anthony,ORL,21,65,18,47,31.7,1.7,1.2,1.9,5.5,11.2,8.7,7.9,28.4,0.3,0.7,2.6,3.4,
Darius Garland,CLE,22,68,37,31,35.7,3.1,1.5,1.9,7.8,12.6,9.5,8.6,34.7,0.1,0.8,1.7,3.4,
Jalen Brunson,DAL,25,79,50,29,31.9,2.1,1.4,1.1,7.6,9.1,8.8,7.7,31.3,0.0,0.5,1.9,3.4,
Jalen Suggs,ORL,20,48,16,32,27.2,1.9,0.6,2.1,5.6,9.2,7.9,7.1,23.5,0.4,1.0,3.0,3.4,
Marcus Smart,BOS,28,71,47,24,32.3,1.7,1.2,1.1,4.9,9.8,8.0,7.9,27.5,0.3,0.4,2.3,3.3,
Dejounte Murray,SAS,25,68,30,38,34.8,3.2,1.4,2.9,10.1,10.1,10.2,8.7,36.6,0.3,0.9,2.0,3.3,
D'Angelo Russell,MIN,26,65,39,26,31.9,2.5,1.3,2.3,4.7,10.8,9.4,10.0,32.2,0.3,0.4,2.0,3.3,
Alperen Sengun,HOU,19,72,18,54,20.7,1.3,1.9,0.5,6.0,9.4,6.5,7.6,23.4,0.9,0.6,3.0,3.3,
Josh Hart,POR,27,54,20,34,33.2,2.1,1.3,3.9,7.2,12.0,7.9,8.8,31.1,0.2,0.7,2.8,3.2,
Khris Middleton,MIL,30,66,44,22,32.4,1.8,1.5,1.8,4.9,10.5,9.0,6.8,28.5,0.3,0.7,2.4,3.2,
LaMelo Ball,CHA,20,75,39,36,32.3,3.2,2.0,3.0,7.1,11.1,9.9,9.5,33.2,0.4,0.7,3.2,3.2,
Chris Paul,PHX,37,65,53,12,32.9,1.7,0.8,0.8,4.5,8.5,9.2,7.5,32.0,0.3,0.2,2.1,3.2,
Brandon Williams,POR,22,24,2,22,26.7,1.9,1.5,1.3,5.0,11.4,9.0,9.0,26.4,0.4,0.9,2.2,3.1,
Spencer Dinwiddie,DAL,29,67,38,29,29.6,1.8,1.1,0.9,4.9,8.6,8.0,5.8,29.2,0.2,0.6,2.2,3.1,
Evan Mobley,CLE,20,69,40,29,33.8,1.9,2.6,0.9,10.1,11.9,8.9,8.2,32.1,1.7,0.7,2.1,3.0,
Jordan Poole,GSW,22,76,49,27,30.0,2.7,1.1,2.8,5.8,10.4,7.5,7.2,27.3,0.3,0.8,2.7,3.0,
Alec Burks,NYK,30,81,37,44,28.6,1.7,1.2,0.8,2.4,8.6,7.0,6.6,26.0,0.3,0.3,2.7,3.0,
Fred VanVleet,TOR,28,65,39,26,37.9,2.6,2.5,2.8,3.6,11.3,10.7,9.0,35.1,0.5,0.8,2.5,3.0,
Wendell Carter Jr.,ORL,23,62,16,46,29.9,1.9,3.0,0.8,8.1,10.1,8.0,6.8,26.2,0.7,0.6,2.7,3.0,
Dwight Powell,DAL,30,82,52,30,21.9,1.2,1.4,0.5,6.2,7.1,5.9,5.3,22.2,0.5,0.3,2.7,3.0,
Andrew Wiggins,GSW,27,73,47,26,31.9,2.4,1.9,1.8,6.9,10.8,8.4,8.3,29.5,0.7,0.6,2.2,2.9,
Scottie Barnes,TOR,20,74,43,31,35.4,2.4,2.7,2.4,9.2,10.5,10.3,8.5,33.8,0.7,0.5,2.6,2.9,
Gordon Hayward,CHA,32,49,26,23,31.9,2.6,1.4,2.7,5.8,10.1,9.7,9.4,31.9,0.4,0.6,1.7,2.9,
Ricky Rubio,IND,31,34,20,14,28.5,1.9,0.7,0.9,3.8,10.3,6.8,7.2,27.9,0.2,0.8,2.2,2.9,
Jalen Green,HOU,20,67,12,55,31.9,2.7,1.7,2.4,6.2,13.8,9.6,10.9,36.5,0.3,1.4,1.5,2.9,
Caris LeVert,CLE,27,58,23,35,30.7,2.4,1.3,1.8,8.9,9.5,8.8,7.6,31.7,0.4,0.9,2.3,2.9,
De'Andre Hunter,ATL,24,53,28,25,29.8,2.0,0.9,1.4,5.2,9.5,8.2,7.9,29.8,0.4,0.7,2.9,2.9,
Dennis Schroder,HOU,28,64,32,32,28.7,2.3,1.2,1.1,5.2,9.0,7.6,6.7,26.7,0.1,0.8,2.4,2.9,
Kevin Porter Jr.,HOU,22,61,16,45,31.3,2.2,1.4,1.8,5.0,14.0,9.5,11.3,34.7,0.4,0.7,2.6,2.9,
Jakob Poeltl,SAS,26,68,30,38,29.0,1.8,3.1,0.2,11.8,8.0,8.7,6.6,30.4,1.7,0.6,3.1,2.8,
Anthony Edwards,MIN,20,72,39,33,34.2,4.3,1.7,3.5,8.3,11.4,9.9,10.4,33.4,0.6,0.6,2.3,2.8,
DeMarcus Cousins,DEN,31,48,33,15,14.9,0.8,1.8,0.4,4.5,5.5,3.3,4.4,14.0,0.4,0.5,2.9,2.8,
Kyle Kuzma,WAS,26,66,29,37,33.4,1.9,1.7,1.8,7.6,10.6,9.3,6.2,35.2,0.9,0.5,1.9,2.8,
Eric Bledsoe,POR,32,54,27,27,25.2,1.6,0.5,1.2,4.5,9.0,7.9,6.7,25.8,0.4,0.4,1.6,2.7,
Ivica Zubac,LAC,25,76,40,36,24.4,1.1,2.5,0.6,8.1,8.3,6.9,6.9,25.3,1.0,0.6,2.7,2.7,
Aaron Gordon,DEN,26,75,46,29,31.7,2.3,1.8,2.1,8.2,11.4,7.2,8.1,33.9,0.6,0.7,2.0,2.7,
Melvin Frazier Jr.,OKC,25,3,0,3,39.9,0.0,1.3,0.0,8.0,12.3,13.0,16.0,46.0,0.0,1.7,2.7,2.7,
Tyler Herro,MIA,22,66,44,22,32.6,3.4,1.8,2.3,6.7,11.7,9.8,8.0,29.3,0.1,1.1,1.4,2.7,
Kelly Olynyk,DET,31,40,13,27,19.1,1.8,1.2,0.9,3.8,7.3,5.3,4.6,20.0,0.5,0.3,2.5,2.7,
Garrison Mathews,HOU,25,65,19,46,26.3,1.3,1.3,1.1,1.3,11.4,8.4,8.5,29.3,0.4,0.2,2.6,2.6,
Steven Adams,MEM,28,76,51,25,26.3,0.8,2.9,0.1,5.4,7.9,6.5,7.3,25.7,0.8,0.6,2.0,2.6,
Trey Lyles,SAC,26,75,19,56,20.5,1.6,1.7,0.7,4.8,6.8,5.5,4.9,21.2,0.4,0.5,1.6,2.6,
CJ McCollum,NOP,30,62,28,34,34.6,2.6,1.8,2.6,7.3,11.3,8.9,8.7,33.7,0.4,0.9,2.0,2.6,
Kemba Walker,NYK,32,37,16,21,25.6,1.4,0.8,1.1,3.0,9.1,7.1,8.0,24.6,0.2,0.4,1.0,2.5,
Bojan Bogdanovic,UTA,33,69,45,24,30.9,2.5,1.8,2.4,6.5,10.6,8.7,7.7,30.4,0.0,0.9,1.7,2.5,
Keldon Johnson,SAS,22,75,33,42,31.9,2.7,2.1,2.4,7.6,9.2,9.3,7.8,33.5,0.2,0.8,2.0,2.5,
Mason Jones,LAL,23,4,2,2,12.6,0.0,0.3,1.5,3.0,4.5,1.8,3.0,12.0,0.0,0.0,2.0,2.5,
Patrick Beverley,MIN,33,58,33,25,25.4,1.5,1.5,0.8,2.9,8.3,7.6,7.9,24.6,0.9,0.4,3.0,2.5,
Reggie Jackson,LAC,32,75,38,37,31.2,2.1,0.9,1.3,6.5,10.5,9.2,8.5,32.3,0.2,0.5,2.1,2.5,
Danilo Gallinari,ATL,33,66,35,31,25.3,1.3,1.1,0.4,2.6,7.6,6.9,6.3,26.0,0.2,0.2,1.4,2.5,
Lauri Markkanen,CLE,24,61,32,29,30.8,2.4,1.6,1.9,5.3,10.8,8.2,7.7,30.2,0.5,0.8,2.1,2.4,
Cade Cunningham,DET,20,64,20,44,32.6,2.5,1.3,1.2,8.1,11.4,8.4,6.7,33.2,0.7,1.2,3.1,2.4,
Franz Wagner,ORL,20,79,21,58,30.7,2.1,1.6,1.9,8.8,10.3,8.3,7.7,27.1,0.4,1.1,2.1,2.4,
Hassan Whiteside,UTA,32,65,40,25,17.9,0.8,3.1,0.3,6.6,6.8,4.8,4.7,17.6,1.6,0.5,2.8,2.4,
Tyrese Maxey,PHI,21,75,45,30,35.3,3.3,0.8,3.3,7.6,10.2,9.6,11.3,35.9,0.4,0.7,2.1,2.4,
Jae'Sean Tate,HOU,26,78,19,59,26.4,1.4,2.2,1.4,7.7,11.3,7.8,8.1,28.2,0.5,0.7,3.7,2.4,
Terry Rozier,CHA,28,73,38,35,33.7,3.0,2.2,2.9,6.5,11.1,10.1,9.6,33.6,0.3,0.6,1.6,2.4,
Kevin Love,CLE,33,74,38,36,22.5,1.9,2.0,0.9,2.7,8.4,5.6,6.3,21.9,0.2,0.2,1.4,2.3,
Mason Plumlee,CHA,32,73,40,33,24.6,1.0,1.0,0.8,5.5,8.2,7.5,7.4,24.7,0.7,0.4,3.1,2.3,
OG Anunoby,TOR,24,48,31,17,36.0,3.7,2.2,2.7,6.8,10.4,9.5,8.8,34.4,0.5,1.0,2.7,2.3,
Myles Turner,IND,26,42,15,27,29.4,1.4,2.2,1.0,6.2,9.0,7.6,7.0,28.1,2.8,0.4,2.8,2.3,
Jrue Holiday,MIL,31,67,47,20,32.9,2.2,1.4,1.5,7.9,10.5,8.5,7.0,28.3,0.4,0.6,2.0,2.3,
Alex Caruso,CHI,28,41,24,17,28.0,1.6,0.8,0.7,2.6,8.0,6.7,5.4,25.6,0.4,0.4,2.6,2.3,
Tyrese Haliburton,IND,22,77,26,51,35.0,2.3,1.0,2.3,4.9,13.4,10.9,10.3,40.0,0.6,0.5,1.6,2.2,
Saddiq Bey,DET,23,82,23,59,33.0,2.3,2.1,1.6,4.6,11.2,8.7,7.6,34.6,0.2,0.6,1.6,2.2,
Mike Conley,UTA,34,72,44,28,28.6,1.8,0.9,0.6,4.5,9.3,6.9,7.0,25.4,0.3,0.4,2.0,2.2,
Jeff Green,DEN,35,75,44,31,24.7,1.4,0.7,1.6,5.5,9.0,6.1,6.5,25.8,0.4,0.3,2.0,2.2,
Tobias Harris,PHI,29,73,45,28,34.8,2.0,1.7,1.8,9.3,9.6,9.3,10.9,34.6,0.6,1.0,2.2,2.2,
Blake Griffin,BKN,33,56,29,27,17.1,1.1,1.0,0.6,3.3,6.3,4.7,5.5,16.6,0.3,0.3,1.7,2.2,
Daniel Gafford,WAS,23,72,30,42,20.1,1.2,2.4,0.7,7.9,6.8,5.4,4.2,19.8,1.4,0.5,2.4,2.2,
Marvin Bagley III,DET,23,48,17,31,23.9,1.7,2.5,0.9,8.0,7.9,6.6,6.4,23.8,0.4,0.6,1.9,2.2,
Jaxson Hayes,NOP,21,70,29,41,20.0,1.6,1.7,1.4,6.3,6.4,5.7,4.2,19.0,0.8,0.3,2.2,2.2,
Austin Reaves,LAL,23,61,28,33,23.2,1.5,0.6,1.0,2.7,7.1,6.2,7.1,24.1,0.3,0.2,1.4,2.2,
Gary Trent Jr.,TOR,23,70,44,26,35.0,3.6,1.5,2.6,4.0,9.5,10.1,8.6,34.3,0.3,0.6,2.1,2.2,
Chris Boucher,TOR,29,80,48,32,21.1,1.4,2.4,1.3,4.8,6.3,6.0,4.6,18.1,0.9,0.5,2.2,2.2,
Jalen Smith,IND,22,51,29,22,18.1,1.2,2.0,0.6,4.7,6.3,4.9,5.2,18.7,0.8,0.2,1.9,2.2,
Hamidou Diallo,DET,23,58,14,44,21.9,2.6,1.8,1.6,7.2,7.1,5.9,4.8,21.2,0.3,0.4,2.5,2.2,
Moritz Wagner,ORL,25,63,16,47,15.2,1.3,1.0,0.6,4.2,5.4,4.3,3.9,14.8,0.2,0.3,2.0,2.1,
Victor Oladipo,MIA,30,8,4,4,21.6,1.9,0.8,1.3,3.8,8.3,5.4,4.4,19.3,0.1,0.4,1.6,2.1,
Frank Kaminsky,PHX,29,9,8,1,20.1,1.7,1.6,0.4,6.9,5.9,6.4,5.0,22.2,0.8,0.3,1.6,2.1,
Marcus Morris Sr.,LAC,32,54,26,28,29.0,1.6,1.1,0.6,3.4,10.0,8.8,7.7,30.6,0.3,0.4,2.1,2.1,
Kelly Oubre Jr.,CHA,26,76,39,37,26.3,3.0,1.7,2.2,5.5,8.8,8.0,7.6,25.9,0.4,0.6,2.5,2.1,
Tim Hardaway Jr.,DAL,30,42,24,18,29.6,1.4,0.9,2.0,2.8,8.6,8.5,7.5,28.5,0.1,0.4,1.8,2.1,
Damian Jones,SAC,26,56,19,37,18.2,0.8,1.8,0.2,5.3,6.7,5.9,4.6,18.4,0.8,0.3,2.3,2.1,
Drew Eubanks,POR,25,71,19,52,17.5,0.7,1.8,0.3,5.8,6.7,5.9,5.2,18.1,0.6,0.4,1.7,2.1,
Deandre Ayton,PHX,23,58,46,12,29.5,2.2,2.3,0.6,13.2,8.5,9.0,7.2,27.3,0.7,0.6,2.4,2.1,
Andre Drummond,BKN,28,73,42,31,19.7,1.2,2.6,0.6,6.7,6.9,5.8,6.0,19.0,0.9,0.6,2.6,2.1,
JaVale McGee,PHX,34,74,57,17,15.8,1.0,2.4,0.4,7.5,5.6,3.9,4.0,15.0,1.1,0.3,2.4,2.1,
Isaiah Roby,OKC,24,45,10,35,21.1,1.8,1.2,1.0,5.1,7.4,6.0,5.1,23.2,0.8,0.5,2.4,2.1,
Willy Hernangomez,NOP,27,50,22,28,16.8,1.4,2.5,0.6,6.6,6.1,4.4,4.6,17.5,0.4,0.5,1.9,2.1,
Jordan Clarkson,UTA,29,79,47,32,27.1,2.0,1.4,1.5,6.3,9.1,6.9,6.7,25.0,0.2,0.5,1.9,2.1,
Jonathan Kuminga,GSW,19,70,44,26,16.9,1.7,1.0,1.1,5.1,6.0,4.9,4.2,15.8,0.3,0.5,2.1,2.0,
Chris Duarte,IND,24,55,21,34,28.0,2.0,1.2,2.4,4.3,9.8,7.8,7.3,29.1,0.2,0.7,1.7,2.0,
Isaiah Jackson,IND,20,36,9,27,15.0,0.9,1.7,0.8,6.0,6.3,4.7,4.1,16.1,1.4,0.3,2.6,2.0,
Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,2.1,1.2,1.7,2.8,9.9,8.3,5.4,32.0,0.3,0.3,1.8,2.0,
