PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Kentavious Caldwell-Pope,DEN,DEN @ PHX,05/05/2023,L,34,2,1,4,25.0,0,2,0.0,0,0,-,0,2,2,1,2,0,0,2,-12,11.9
Lonnie Walker IV,LAL,LAL @ GSW,05/04/2023,L,12,9,4,8,50.0,1,4,25.0,0,0,-,0,0,0,1,1,0,0,0,3,13.5
Moses Moody,GSW,GSW vs. LAL,05/04/2023,W,26,10,3,9,33.3,2,3,66.7,2,3,66.7,1,6,7,2,0,1,0,2,4,24.4
Donte DiVincenzo,GSW,GSW vs. LAL,05/04/2023,W,28,8,3,9,33.3,2,8,25.0,0,0,-,0,4,4,4,0,1,4,0,8,17.8
Malik Beasley,LAL,LAL @ GSW,05/04/2023,L,12,2,1,4,25.0,0,3,0.0,0,0,-,0,1,1,0,1,0,0,1,3,6.2
Andrew Wiggins,GSW,GSW vs. LAL,05/04/2023,W,30,11,3,8,37.5,2,4,50.0,3,4,75.0,2,2,4,4,0,1,2,2,35,22.8
Draymond Green,GSW,GSW vs. LAL,05/04/2023,W,28,11,5,10,50.0,0,1,0.0,1,4,25.0,2,9,11,9,1,0,2,3,15,38.7
Tristan Thompson,LAL,LAL @ GSW,05/04/2023,L,12,5,2,4,50.0,0,0,-,1,4,25.0,1,3,4,2,0,0,0,1,3,12.8
Stephen Curry,GSW,GSW vs. LAL,05/04/2023,W,30,20,7,12,58.3,3,5,60.0,3,3,100,0,4,4,12,1,0,3,3,24,42.8
LeBron James,LAL,LAL @ GSW,05/04/2023,L,28,23,10,18,55.6,3,8,37.5,0,0,-,0,7,7,3,1,0,0,3,-27,38.9
Max Christie,LAL,LAL @ GSW,05/04/2023,L,9,2,0,1,0.0,0,1,0.0,2,4,50.0,0,1,1,0,0,0,0,0,3,3.2
Austin Reaves,LAL,LAL @ GSW,05/04/2023,L,25,7,3,11,27.3,1,5,20.0,0,0,-,0,4,4,2,0,0,2,1,-22,12.8
Anthony Lamb,GSW,GSW vs. LAL,05/04/2023,W,9,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,1,2.4
Jonathan Kuminga,GSW,GSW vs. LAL,05/04/2023,W,10,3,1,4,25.0,1,1,100,0,0,-,1,1,2,1,0,0,0,1,-5,6.9
Jordan Poole,GSW,GSW vs. LAL,05/04/2023,W,16,6,3,6,50.0,0,2,0.0,0,0,-,1,3,4,3,0,0,1,5,8,14.3
Wenyen Gabriel,LAL,LAL @ GSW,05/04/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0.0
Jarred Vanderbilt,LAL,LAL @ GSW,05/04/2023,L,20,6,2,7,28.6,1,2,50.0,1,2,50.0,4,2,6,1,0,0,1,0,-10,13.7
Troy Brown Jr.,LAL,LAL @ GSW,05/04/2023,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,3,0,0,0,0,-3,4.5
Shaquille Harrison,LAL,LAL @ GSW,05/04/2023,L,9,0,0,0,-,0,0,-,0,0,-,0,1,1,1,1,0,0,1,-1,5.7
Gary Payton II,GSW,GSW vs. LAL,05/04/2023,W,9,7,3,3,100,0,0,-,1,2,50.0,3,2,5,0,0,0,1,1,1,12.0
Kevon Looney,GSW,GSW vs. LAL,05/04/2023,W,12,6,3,6,50.0,0,0,-,0,0,-,3,5,8,0,0,0,0,0,11,15.6
D'Angelo Russell,LAL,LAL @ GSW,05/04/2023,L,28,10,5,12,41.7,0,3,0.0,0,0,-,1,0,1,8,1,0,0,1,-19,26.2
Dennis Schroder,LAL,LAL @ GSW,05/04/2023,L,19,4,0,3,0.0,0,1,0.0,4,4,100,1,2,3,2,2,0,1,3,-18,15.6
JaMychal Green,GSW,GSW vs. LAL,05/04/2023,W,13,15,6,9,66.7,3,6,50.0,0,0,-,0,1,1,2,0,0,1,3,5,18.2
Anthony Davis,LAL,LAL @ GSW,05/04/2023,L,33,11,5,11,45.5,0,0,-,1,1,100,1,6,7,4,1,3,4,3,-22,33.4
Klay Thompson,GSW,GSW vs. LAL,05/04/2023,W,31,30,11,18,61.1,8,11,72.7,0,0,-,0,3,3,1,0,0,1,2,28,34.1
Rui Hachimura,LAL,LAL @ GSW,05/04/2023,L,22,21,8,14,57.1,4,6,66.7,1,2,50.0,1,4,5,0,1,0,1,1,-17,29.0
James Harden,PHI,PHI @ BOS,05/03/2023,L,32,12,2,14,14.3,0,6,0.0,8,10,80.0,1,9,10,4,0,0,0,2,-21,30.0
P.J. Tucker,PHI,PHI @ BOS,05/03/2023,L,21,5,2,3,66.7,1,1,100,0,0,-,0,4,4,0,0,1,1,3,-19,11.8
Al Horford,BOS,BOS vs. PHI,05/03/2023,W,24,5,2,10,20.0,1,8,12.5,0,0,-,1,6,7,2,1,2,0,2,19,25.4
Tobias Harris,PHI,PHI @ BOS,05/03/2023,L,33,16,7,12,58.3,2,5,40.0,0,0,-,2,5,7,0,0,0,0,0,-21,24.4
Dewayne Dedmon,PHI,PHI @ BOS,05/03/2023,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,1,-4,0.2
Mike Muscala,BOS,BOS vs. PHI,05/03/2023,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,1,4,4.5
Joel Embiid,PHI,PHI @ BOS,05/03/2023,L,27,15,4,9,44.4,0,2,0.0,7,8,87.5,0,3,3,0,0,5,3,2,-23,30.6
Jaylen Brown,BOS,BOS vs. PHI,05/03/2023,W,30,25,9,17,52.9,3,6,50.0,4,4,100,0,3,3,4,2,0,1,1,18,39.6
Furkan Korkmaz,PHI,PHI @ BOS,05/03/2023,L,5,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,1,0,-4,1.0
Danuel House Jr.,PHI,PHI @ BOS,05/03/2023,L,8,3,1,5,20.0,0,3,0.0,1,1,100,0,1,1,0,0,0,0,0,-5,4.2
Jayson Tatum,BOS,BOS vs. PHI,05/03/2023,W,19,7,1,7,14.3,0,3,0.0,5,5,100,0,7,7,3,0,1,2,4,24,20.9
Derrick White,BOS,BOS vs. PHI,05/03/2023,W,30,15,5,9,55.6,3,6,50.0,2,2,100,1,0,1,1,0,0,0,1,23,17.7
Luke Kornet,BOS,BOS vs. PHI,05/03/2023,W,5,6,3,3,100,0,0,-,0,0,-,1,3,4,0,0,0,0,0,4,10.8
Shake Milton,PHI,PHI @ BOS,05/03/2023,L,9,4,2,2,100,0,0,-,0,0,-,0,1,1,2,1,0,0,0,-5,11.2
Justin Champagnie,BOS,BOS vs. PHI,05/03/2023,W,5,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,4,0.0
Marcus Smart,BOS,BOS vs. PHI,05/03/2023,W,27,15,7,14,50.0,1,4,25.0,0,0,-,1,4,5,2,0,1,1,0,17,26.0
Malcolm Brogdon,BOS,BOS vs. PHI,05/03/2023,W,24,23,7,15,46.7,6,10,60.0,3,4,75.0,0,6,6,2,0,1,0,2,11,36.2
Georges Niang,PHI,PHI @ BOS,05/03/2023,L,13,3,1,4,25.0,1,2,50.0,0,0,-,0,0,0,0,0,0,1,1,-11,2.0
De'Anthony Melton,PHI,PHI @ BOS,05/03/2023,L,18,2,1,5,20.0,0,2,0.0,0,0,-,0,2,2,2,1,0,1,1,-12,9.4
Robert Williams III,BOS,BOS vs. PHI,05/03/2023,W,22,2,1,1,100,0,0,-,0,0,-,3,4,7,4,0,3,0,1,12,25.4
Jalen McDaniels,PHI,PHI @ BOS,05/03/2023,L,13,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,0,0,0,0,1,-11,4.2
Grant Williams,BOS,BOS vs. PHI,05/03/2023,W,29,12,4,8,50.0,4,8,50.0,0,0,-,1,3,4,4,1,0,0,2,22,25.8
Tyrese Maxey,PHI,PHI @ BOS,05/03/2023,L,30,13,6,14,42.9,1,4,25.0,0,0,-,0,3,3,3,0,1,1,3,-25,23.1
Paul Reed,PHI,PHI @ BOS,05/03/2023,L,16,6,3,4,75.0,0,0,-,0,0,-,3,5,8,2,0,1,1,2,-7,20.6
Sam Hauser,BOS,BOS vs. PHI,05/03/2023,W,8,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,0,0,1,5,3.0
Payton Pritchard,BOS,BOS vs. PHI,05/03/2023,W,12,8,3,3,100,1,1,100,1,1,100,0,2,2,3,1,0,2,1,7,15.9
Jaden Springer,PHI,PHI @ BOS,05/03/2023,L,10,3,1,1,100,0,0,-,1,2,50.0,0,0,0,0,0,0,1,1,-2,2.0
Obi Toppin,NYK,NYK vs. MIA,05/02/2023,W,10,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-8,1.2
Immanuel Quickley,NYK,NYK vs. MIA,05/02/2023,W,9,6,3,7,42.9,0,4,0.0,0,0,-,0,1,1,0,0,0,2,2,-6,5.2
Klay Thompson,GSW,GSW vs. LAL,05/02/2023,L,37,25,9,25,36.0,6,16,37.5,1,2,50.0,0,3,3,4,0,0,0,3,1,34.6
Draymond Green,GSW,GSW vs. LAL,05/02/2023,L,34,6,3,9,33.3,0,1,0.0,0,0,-,1,3,4,7,1,3,0,4,-8,33.3
JaMychal Green,GSW,GSW vs. LAL,05/02/2023,L,8,6,2,4,50.0,2,4,50.0,0,0,-,0,0,0,0,0,0,0,1,-5,6.0
Andrew Wiggins,GSW,GSW vs. LAL,05/02/2023,L,34,15,6,14,42.9,1,5,20.0,2,2,100,3,3,6,0,0,0,2,3,-2,20.2
D'Angelo Russell,LAL,LAL @ GSW,05/02/2023,W,33,19,9,19,47.4,1,5,20.0,0,1,0.0,0,3,3,6,1,1,1,1,1,36.6
Gary Payton II,GSW,GSW vs. LAL,05/02/2023,L,12,2,1,3,33.3,0,2,0.0,0,0,-,2,1,3,2,0,0,0,1,-6,8.6
Troy Brown Jr.,LAL,LAL @ GSW,05/02/2023,W,12,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,1,4,3.0
Donte DiVincenzo,GSW,GSW vs. LAL,05/02/2023,L,12,0,0,1,0.0,0,1,0.0,0,0,-,0,3,3,2,2,0,0,1,-7,12.6
Jarred Vanderbilt,LAL,LAL @ GSW,05/02/2023,W,26,8,2,7,28.6,1,3,33.3,3,4,75.0,3,3,6,2,2,2,1,4,8,29.2
Rui Hachimura,LAL,LAL @ GSW,05/02/2023,W,11,6,2,2,100,0,0,-,2,2,100,1,0,1,1,0,0,1,0,2,7.7
Wenyen Gabriel,LAL,LAL @ GSW,05/02/2023,W,4,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,4,2.4
Moses Moody,GSW,GSW vs. LAL,05/02/2023,L,6,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,0,0,0,-2,2.7
LeBron James,LAL,LAL @ GSW,05/02/2023,W,40,22,9,24,37.5,1,8,12.5,3,4,75.0,2,9,11,4,0,3,4,0,1,46.2
Stephen Curry,GSW,GSW vs. LAL,05/02/2023,L,38,27,10,24,41.7,6,13,46.2,1,1,100,0,6,6,3,1,0,5,3,-1,36.7
Anthony Davis,LAL,LAL @ GSW,05/02/2023,W,44,30,11,19,57.9,0,2,0.0,8,8,100,4,19,23,5,0,4,1,2,1,76.1
Dennis Schroder,LAL,LAL @ GSW,05/02/2023,W,31,19,5,10,50.0,0,1,0.0,9,10,90.0,0,2,2,3,1,0,0,2,1,28.9
Kevon Looney,GSW,GSW vs. LAL,05/02/2023,L,29,10,5,11,45.5,0,0,-,0,0,-,7,16,23,5,0,0,1,3,-2,44.1
Jordan Poole,GSW,GSW vs. LAL,05/02/2023,L,30,21,7,15,46.7,6,11,54.5,1,1,100,0,0,0,6,1,0,0,5,7,33.0
Austin Reaves,LAL,LAL @ GSW,05/02/2023,W,39,10,4,9,44.4,2,5,40.0,0,0,-,2,3,5,3,0,0,0,2,3,20.5
Kevin Love,MIA,MIA @ NYK,05/02/2023,L,24,8,2,9,22.2,2,8,25.0,2,4,50.0,2,4,6,1,0,0,2,1,-3,14.7
Julius Randle,NYK,NYK vs. MIA,05/02/2023,W,38,25,8,18,44.4,3,9,33.3,6,6,100,1,11,12,8,0,0,3,1,14,48.4
RJ Barrett,NYK,NYK vs. MIA,05/02/2023,W,38,24,8,17,47.1,5,9,55.6,3,5,60.0,1,2,3,3,0,0,3,1,-5,29.1
Bam Adebayo,MIA,MIA @ NYK,05/02/2023,L,38,15,5,10,50.0,0,0,-,5,7,71.4,2,6,8,6,0,1,1,5,-9,35.6
Josh Hart,NYK,NYK vs. MIA,05/02/2023,W,33,14,4,11,36.4,2,4,50.0,4,7,57.1,1,10,11,9,1,0,1,3,16,42.7
Jalen Brunson,NYK,NYK vs. MIA,05/02/2023,W,39,30,10,19,52.6,6,10,60.0,4,4,100,1,4,5,2,2,0,1,1,12,44.0
Mitchell Robinson,NYK,NYK vs. MIA,05/02/2023,W,21,6,2,3,66.7,0,0,-,2,6,33.3,3,2,5,0,0,0,0,4,4,12.0
Haywood Highsmith,MIA,MIA @ NYK,05/02/2023,L,15,5,2,3,66.7,1,2,50.0,0,1,0.0,2,1,3,2,0,0,1,2,-3,10.6
Max Strus,MIA,MIA @ NYK,05/02/2023,L,25,17,7,12,58.3,3,7,42.9,0,0,-,0,1,1,1,0,0,0,5,-5,19.7
Kyle Lowry,MIA,MIA @ NYK,05/02/2023,L,31,6,3,9,33.3,0,4,0.0,0,0,-,0,4,4,6,1,1,1,2,-7,24.8
Cody Zeller,MIA,MIA @ NYK,05/02/2023,L,7,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,1,2,4,2.2
Isaiah Hartenstein,NYK,NYK vs. MIA,05/02/2023,W,26,3,1,2,50.0,0,0,-,1,1,100,4,5,9,1,1,1,0,5,0,21.3
Caleb Martin,MIA,MIA @ NYK,05/02/2023,L,38,22,8,15,53.3,4,8,50.0,2,2,100,2,6,8,1,0,0,0,2,-14,33.1
Duncan Robinson,MIA,MIA @ NYK,05/02/2023,L,21,9,3,9,33.3,3,8,37.5,0,0,-,0,1,1,2,0,0,0,2,7,13.2
Gabe Vincent,MIA,MIA @ NYK,05/02/2023,L,41,21,7,17,41.2,4,12,33.3,3,3,100,0,2,2,5,0,0,0,3,0,30.9
Quentin Grimes,NYK,NYK vs. MIA,05/02/2023,W,26,3,1,3,33.3,0,2,0.0,1,1,100,0,3,3,0,0,1,0,2,3,9.6
Devin Booker,PHX,PHX @ DEN,05/01/2023,L,45,35,14,29,48.3,4,8,50.0,3,3,100,0,5,5,6,0,0,2,4,-7,48.0
James Harden,PHI,PHI @ BOS,05/01/2023,W,39,45,17,30,56.7,7,14,50.0,4,4,100,0,1,1,6,2,0,3,4,8,58.2
Georges Niang,PHI,PHI @ BOS,05/01/2023,W,13,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,1,0,0,1,0,2,4.7
Jalen McDaniels,PHI,PHI @ BOS,05/01/2023,W,11,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-8,1.2
Grant Williams,BOS,BOS vs. PHI,05/01/2023,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Paul Reed,PHI,PHI @ BOS,05/01/2023,W,37,10,3,4,75.0,0,0,-,4,4,100,4,9,13,2,1,1,0,4,8,34.6
Sam Hauser,BOS,BOS vs. PHI,05/01/2023,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,3,1.5
Al Horford,BOS,BOS vs. PHI,05/01/2023,L,30,11,5,8,62.5,1,4,25.0,0,0,-,3,3,6,3,0,3,2,0,-17,29.7
Marcus Smart,BOS,BOS vs. PHI,05/01/2023,L,35,12,4,7,57.1,0,2,0.0,4,4,100,1,2,3,7,0,0,6,3,-7,20.1
P.J. Tucker,PHI,PHI @ BOS,05/01/2023,W,37,0,0,0,-,0,0,-,0,0,-,2,3,5,1,2,0,1,4,6,12.5
Tobias Harris,PHI,PHI @ BOS,05/01/2023,W,42,18,8,16,50.0,2,5,40.0,0,0,-,0,5,5,3,1,1,0,1,0,34.5
Jaylen Brown,BOS,BOS vs. PHI,05/01/2023,L,42,23,8,10,80.0,3,4,75.0,4,4,100,1,5,6,4,1,0,4,1,-2,35.2
Christian Braun,DEN,DEN vs. PHX,05/01/2023,W,16,2,1,2,50.0,0,0,-,0,0,-,0,3,3,0,0,0,0,3,15,5.6
Jock Landale,PHX,PHX @ DEN,05/01/2023,L,5,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,-9,4.2
Torrey Craig,PHX,PHX @ DEN,05/01/2023,L,11,0,0,2,0.0,0,2,0.0,0,0,-,1,0,1,0,0,0,0,0,-10,1.2
Jamal Murray,DEN,DEN vs. PHX,05/01/2023,W,39,10,3,15,20.0,0,9,0.0,4,4,100,0,4,4,8,0,0,3,0,14,23.8
Cameron Payne,PHX,PHX @ DEN,05/01/2023,L,17,2,1,7,14.3,0,4,0.0,0,0,-,0,1,1,1,0,1,0,4,-16,7.7
Aaron Gordon,DEN,DEN vs. PHX,05/01/2023,W,39,16,5,8,62.5,1,3,33.3,5,6,83.3,0,1,1,1,2,1,2,2,11,25.7
Kentavious Caldwell-Pope,DEN,DEN vs. PHX,05/01/2023,W,41,14,5,6,83.3,4,4,100,0,0,-,2,3,5,2,1,0,1,2,1,25.0
Jeff Green,DEN,DEN vs. PHX,05/01/2023,W,16,2,1,3,33.3,0,2,0.0,0,0,-,0,4,4,1,0,2,1,3,7,13.3
Ish Wainright,PHX,PHX @ DEN,05/01/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-6,0.0
Deandre Ayton,PHX,PHX @ DEN,05/01/2023,L,33,14,7,10,70.0,0,0,-,0,0,-,4,4,8,4,0,1,4,5,0,28.6
Michael Porter Jr.,DEN,DEN vs. PHX,05/01/2023,W,23,5,2,7,28.6,0,2,0.0,1,1,100,0,4,4,1,0,1,0,0,-12,14.3
Josh Okogie,PHX,PHX @ DEN,05/01/2023,L,22,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,1,0,0,0,3,0,3.5
Bruce Brown,DEN,DEN vs. PHX,05/01/2023,W,25,9,2,5,40.0,0,1,0.0,5,6,83.3,0,4,4,1,0,1,0,4,12,18.3
Damion Lee,PHX,PHX @ DEN,05/01/2023,L,26,0,0,5,0.0,0,3,0.0,0,0,-,3,3,6,2,0,0,0,1,-5,10.2
Nikola Jokic,DEN,DEN vs. PHX,05/01/2023,W,41,39,17,30,56.7,2,6,33.3,3,4,75.0,3,13,16,5,2,1,3,2,2,71.7
Bismack Biyombo,PHX,PHX @ DEN,05/01/2023,L,10,2,1,2,50.0,0,0,-,0,0,-,0,4,4,0,0,0,1,3,-1,5.8
Kevin Durant,PHX,PHX @ DEN,05/01/2023,L,44,24,10,27,37.0,2,12,16.7,2,2,100,1,7,8,3,1,2,2,4,-4,45.1
Chris Paul,PHX,PHX @ DEN,05/01/2023,L,25,8,4,10,40.0,0,0,-,0,0,-,1,4,5,6,0,0,0,0,8,23.0
Tyrese Maxey,PHI,PHI @ BOS,05/01/2023,W,36,26,10,24,41.7,2,9,22.2,4,4,100,0,1,1,2,4,0,0,5,12,42.2
Robert Williams III,BOS,BOS vs. PHI,05/01/2023,L,20,6,3,3,100,0,0,-,0,0,-,0,7,7,0,0,0,0,1,8,14.4
De'Anthony Melton,PHI,PHI @ BOS,05/01/2023,W,25,17,6,10,60.0,5,6,83.3,0,0,-,1,0,1,2,0,2,1,2,-8,26.2
Derrick White,BOS,BOS vs. PHI,05/01/2023,L,27,4,1,5,20.0,0,4,0.0,2,2,100,0,2,2,3,1,0,2,2,-15,11.9
Jayson Tatum,BOS,BOS vs. PHI,05/01/2023,L,44,39,14,25,56.0,4,5,80.0,7,8,87.5,2,9,11,5,1,1,1,2,-6,64.7
Malcolm Brogdon,BOS,BOS vs. PHI,05/01/2023,L,34,20,9,16,56.3,2,6,33.3,0,0,-,1,2,3,3,0,0,1,1,14,27.1
Kevin Huerter,SAC,SAC vs. GSW,04/30/2023,L,28,7,2,9,22.2,1,6,16.7,2,2,100,1,8,9,0,1,2,0,3,-20,26.8
Gabe Vincent,MIA,MIA @ NYK,04/30/2023,W,33,20,6,16,37.5,5,12,41.7,3,3,100,1,1,2,5,1,0,1,3,11,31.9
Malik Monk,SAC,SAC vs. GSW,04/30/2023,L,31,14,4,14,28.6,2,8,25.0,4,5,80.0,2,7,9,4,0,0,1,2,-5,29.8
De'Aaron Fox,SAC,SAC vs. GSW,04/30/2023,L,37,16,5,19,26.3,3,10,30.0,3,4,75.0,2,1,3,6,0,1,5,5,-20,26.6
Mitchell Robinson,NYK,NYK vs. MIA,04/30/2023,L,34,7,3,3,100,0,0,-,1,4,25.0,5,9,14,0,0,2,2,3,-13,27.8
Isaiah Hartenstein,NYK,NYK vs. MIA,04/30/2023,L,14,2,1,1,100,0,0,-,0,0,-,2,0,2,1,1,1,0,1,6,11.9
Cody Zeller,MIA,MIA @ NYK,04/30/2023,W,8,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,1,0,0,0,9,5.2
Kevin Love,MIA,MIA @ NYK,04/30/2023,W,16,9,3,7,42.9,2,5,40.0,1,1,100,0,5,5,4,0,0,0,1,3,21.0
Haywood Highsmith,MIA,MIA @ NYK,04/30/2023,W,5,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,2.0
Max Strus,MIA,MIA @ NYK,04/30/2023,W,23,8,3,6,50.0,2,5,40.0,0,0,-,1,1,2,3,1,0,0,2,1,17.9
Quentin Grimes,NYK,NYK vs. MIA,04/30/2023,L,10,4,1,3,33.3,1,3,33.3,1,2,50.0,0,0,0,0,1,0,0,2,1,7.0
Kyle Lowry,MIA,MIA @ NYK,04/30/2023,W,30,18,5,12,41.7,3,6,50.0,5,6,83.3,0,5,5,6,1,4,2,3,2,46.0
Jimmy Butler,MIA,MIA @ NYK,04/30/2023,W,43,25,8,16,50.0,0,1,0.0,9,11,81.8,4,7,11,4,2,0,2,3,9,48.2
Josh Hart,NYK,NYK vs. MIA,04/30/2023,L,43,10,5,12,41.7,0,4,0.0,0,0,-,2,6,8,4,0,1,1,5,-8,27.6
Caleb Martin,MIA,MIA @ NYK,04/30/2023,W,31,9,3,8,37.5,1,5,20.0,2,4,50.0,1,4,5,1,2,1,1,0,4,24.5
Duncan Robinson,MIA,MIA @ NYK,04/30/2023,W,13,0,0,5,0.0,0,5,0.0,0,0,-,0,0,0,1,0,0,0,1,-6,1.5
Obi Toppin,NYK,NYK vs. MIA,04/30/2023,L,31,18,7,15,46.7,4,11,36.4,0,0,-,0,8,8,0,1,0,0,3,0,30.6
Immanuel Quickley,NYK,NYK vs. MIA,04/30/2023,L,27,9,3,9,33.3,1,4,25.0,2,2,100,1,1,2,1,1,0,1,2,-4,14.9
Jalen Brunson,NYK,NYK vs. MIA,04/30/2023,L,40,25,11,23,47.8,0,7,0.0,3,4,75.0,1,4,5,7,1,0,5,2,-8,39.5
RJ Barrett,NYK,NYK vs. MIA,04/30/2023,L,40,26,10,20,50.0,1,5,20.0,5,8,62.5,1,8,9,7,1,0,4,3,-9,46.3
Bam Adebayo,MIA,MIA @ NYK,04/30/2023,W,37,16,7,13,53.8,0,0,-,2,2,100,3,5,8,2,0,0,2,1,3,26.6
Alex Len,SAC,SAC vs. GSW,04/30/2023,L,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,4,1.2
Trey Lyles,SAC,SAC vs. GSW,04/30/2023,L,21,6,2,5,40.0,1,4,25.0,1,2,50.0,1,6,7,0,0,0,0,1,-2,14.4
Gary Payton II,GSW,GSW @ SAC,04/30/2023,W,16,2,1,2,50.0,0,0,-,0,0,-,1,2,3,1,0,4,1,4,-13,18.1
PJ Dozier,SAC,SAC vs. GSW,04/30/2023,L,3,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,4,5.0
Donte DiVincenzo,GSW,GSW @ SAC,04/30/2023,W,8,3,1,1,100,1,1,100,0,0,-,1,1,2,1,0,0,0,0,-6,6.9
Chimezie Metu,SAC,SAC vs. GSW,04/30/2023,L,3,1,0,1,0.0,0,0,-,1,2,50.0,1,0,1,0,0,0,0,0,4,2.2
Terence Davis,SAC,SAC vs. GSW,04/30/2023,L,26,14,5,11,45.5,4,10,40.0,0,0,-,1,2,3,3,0,0,0,4,-6,22.1
Jordan Poole,GSW,GSW @ SAC,04/30/2023,W,19,8,3,9,33.3,2,6,33.3,0,0,-,0,3,3,2,0,1,1,2,-2,16.6
Jonathan Kuminga,GSW,GSW @ SAC,04/30/2023,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Moses Moody,GSW,GSW @ SAC,04/30/2023,W,15,5,2,3,66.7,1,2,50.0,0,0,-,0,0,0,0,0,1,1,1,-5,7.0
Kessler Edwards,SAC,SAC vs. GSW,04/30/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,4,1.2
Davion Mitchell,SAC,SAC vs. GSW,04/30/2023,L,8,1,0,2,0.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,0,-4,1.0
Keegan Murray,SAC,SAC vs. GSW,04/30/2023,L,28,10,5,10,50.0,0,2,0.0,0,0,-,3,4,7,1,2,0,1,3,-17,24.9
Stephen Curry,GSW,GSW @ SAC,04/30/2023,W,38,50,20,38,52.6,7,18,38.9,3,5,60.0,1,7,8,6,1,0,1,2,25,70.6
Klay Thompson,GSW,GSW @ SAC,04/30/2023,W,35,16,4,19,21.1,2,10,20.0,6,8,75.0,0,5,5,1,0,0,2,2,30,21.5
Harrison Barnes,SAC,SAC vs. GSW,04/30/2023,L,14,4,1,4,25.0,0,2,0.0,2,4,50.0,0,0,0,0,0,0,0,0,-20,4.0
Draymond Green,GSW,GSW @ SAC,04/30/2023,W,38,8,3,7,42.9,1,4,25.0,1,2,50.0,1,5,6,8,2,0,0,4,25,33.2
Andrew Wiggins,GSW,GSW @ SAC,04/30/2023,W,37,17,5,16,31.3,1,5,20.0,6,10,60.0,4,3,7,2,1,0,1,4,25,30.4
Domantas Sabonis,SAC,SAC vs. GSW,04/30/2023,L,37,22,10,16,62.5,0,1,0.0,2,6,33.3,3,5,8,7,0,2,1,4,-22,47.1
Kevon Looney,GSW,GSW @ SAC,04/30/2023,W,31,11,4,5,80.0,0,0,-,3,5,60.0,10,11,21,4,0,0,0,4,25,42.2