Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:39:29,2nd,,1st,1st,2nd,4th,3rd,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:39:31,3rd,1st,2nd,2nd,4th,3rd,1st,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:33,2nd,1st,3rd,3rd,1st,4th,2nd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:39:33,2nd,1st,3rd,1st,4th,3rd,2nd,1st,3rd,2nd,3rd,2nd,1st,,
5/26/2020 12:39:34,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:39:39,1st,2nd,3rd,1st,4th,2nd,3rd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:39:40,2nd,3rd,1st,1st,3rd,2nd,4th,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:39:40,3rd,1st,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,3rd,2nd,1st,no
5/26/2020 12:39:45,2nd,1st,3rd,1st,4th,3rd,2nd,2nd,1st,3rd,2nd,1st,3rd,,
5/26/2020 12:39:47,3rd,1st,2nd,1st,3rd,2nd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:47,,1st,,,1st,,2nd,2nd,1st,3rd,,1st,,,
5/26/2020 12:39:48,3rd,1st,2nd,2nd,3rd,1st,4th,3rd,1st,2nd,1st,3rd,2nd,,"There were way too many speeches, or atleast they took way too long. People were super repetitive, and I think it would have been better to set like a 45 second/speech time limit, which would've encouraged people to be far more to the point."
5/26/2020 12:39:49,2nd,1st,3rd,2nd,3rd,1st,4th,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:39:50,2nd,1st,3rd,2nd,1st,4th,3rd,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:40:00,3rd,1st,2nd,3rd,2nd,4th,1st,2nd,3rd,1st,3rd,2nd,1st,,
5/26/2020 12:40:04,2nd,1st,3rd,1st,2nd,3rd,4th,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:40:06,1st,2nd,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:40:06,2nd,1st,3rd,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,3rd,1st,
5/26/2020 12:40:08,3rd,1st,2nd,2nd,1st,4th,3rd,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:40:09,1st,2nd,3rd,1st,3rd,,2nd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:40:11,3rd,1st,2nd,1st,2nd,3rd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:40:14,2nd,1st,3rd,3rd,2nd,4th,1st,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:40:21,2nd,1st,3rd,1st,2nd,3rd,4th,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:40:27,2nd,1st,3rd,2nd,3rd,4th,1st,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:40:37,3rd,2nd,1st,2nd,3rd,4th,1st,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:40:37,3rd,1st,2nd,3rd,4th,1st,2nd,1st,2nd,3rd,2nd,3rd,1st,1st,N/A
5/26/2020 12:40:48,3rd,1st,2nd,2nd,1st,4th,3rd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:40:50,3rd,2nd,1st,1st,3rd,4th,2nd,3rd,2nd,,3rd,1st,2nd,1st,I think it was better that the candidates could give their speeches in a video versus live.
5/26/2020 12:40:52,3rd,1st,2nd,,,,,1st,,,,,,1st,
5/26/2020 12:40:52,3rd,2nd,1st,4th,1st,2nd,3rd,1st,3rd,2nd,1st,2nd,3rd,1st,
5/26/2020 12:40:53,3rd,1st,2nd,2nd,1st,4th,3rd,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:40:54,2nd,3rd,1st,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,3rd,1st,1st,none
5/26/2020 12:40:54,3rd,1st,2nd,2nd,,1st,,,,1st,,,,1st,
5/26/2020 12:40:55,1st,2nd,3rd,1st,2nd,4th,3rd,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:40:55,3rd,1st,2nd,3rd,2nd,1st,4th,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:40:57,3rd,1st,2nd,3rd,1st,4th,2nd,2nd,3rd,1st,2nd,3rd,1st,,
5/26/2020 12:40:58,3rd,1st,2nd,3rd,2nd,4th,1st,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:41:04,3rd,2nd,1st,1st,2nd,4th,3rd,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:41:04,3rd,2nd,1st,2nd,3rd,1st,4th,1st,3rd,2nd,1st,3rd,2nd,1st,
5/26/2020 12:41:05,3rd,2nd,1st,3rd,1st,2nd,4th,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:41:05,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:41:06,3rd,1st,2nd,2nd,3rd,4th,1st,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:41:11,3rd,2nd,1st,4th,3rd,1st,2nd,3rd,1st,2nd,1st,3rd,2nd,1st,
5/26/2020 12:41:11,1st,3rd,2nd,1st,4th,3rd,2nd,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:41:12,2nd,3rd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:41:13,2nd,1st,3rd,1st,,,,3rd,2nd,1st,,2nd,1st,1st,"put pictures of the people with the names
"
5/26/2020 12:41:14,3rd,2nd,1st,3rd,2nd,1st,4th,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:41:17,3rd,1st,2nd,2nd,3rd,1st,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:41:17,3rd,1st,2nd,2nd,1st,4th,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:41:17,2nd,1st,3rd,2nd,1st,4th,3rd,2nd,1st,3rd,1st,2nd,3rd,1st,
5/26/2020 12:41:20,2nd,1st,3rd,3rd,1st,2nd,4th,1st,3rd,2nd,,,1st,1st,
5/26/2020 12:41:22,1st,2nd,3rd,4th,3rd,1st,2nd,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:41:23,2nd,1st,3rd,2nd,1st,4th,3rd,2nd,1st,3rd,2nd,1st,3rd,,This system is honestly more effective than the actual electoral system that decides our government.
5/26/2020 12:41:23,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,1st,2nd,3rd,1st,
5/26/2020 12:41:25,2nd,3rd,1st,3rd,2nd,4th,1st,2nd,3rd,1st,1st,3rd,2nd,1st,No
5/26/2020 12:41:27,3rd,1st,2nd,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:41:28,,,,2nd,4th,1st,3rd,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:41:33,2nd,1st,3rd,3rd,2nd,4th,1st,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:41:35,3rd,1st,2nd,1st,2nd,3rd,4th,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:41:35,3rd,2nd,1st,1st,2nd,3rd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:41:35,3rd,2nd,1st,4th,2nd,1st,3rd,3rd,2nd,1st,1st,2nd,3rd,1st,
5/26/2020 12:41:38,3rd,1st,2nd,4th,3rd,1st,2nd,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:41:41,3rd,1st,2nd,4th,3rd,2nd,1st,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:41:43,3rd,1st,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:41:43,3rd,1st,2nd,1st,2nd,4th,3rd,3rd,2nd,1st,1st,2nd,3rd,1st,
5/26/2020 12:41:47,1st,3rd,2nd,1st,2nd,3rd,4th,2nd,3rd,1st,2nd,1st,3rd,1st,
5/26/2020 12:41:51,1st,3rd,2nd,4th,3rd,2nd,1st,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:41:52,2nd,1st,3rd,1st,3rd,2nd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:41:53,3rd,1st,2nd,3rd,2nd,1st,4th,1st,3rd,2nd,3rd,2nd,1st,1st,"I didn't love that we had to spend all this extra time in advisory. Especially now that we're in remote learning, I have come to rely on the hourlong break in the middle of the day, and having to spend that hour on my computer watching speeches wasn't that great. I would much rather the recordings were sent out over email so that we could watch them at times that were better for us. Thanks!"
5/26/2020 12:41:54,3rd,1st,2nd,3rd,2nd,1st,4th,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:42:01,3rd,1st,2nd,1st,3rd,2nd,4th,2nd,1st,3rd,3rd,1st,2nd,1st,
5/26/2020 12:42:12,2nd,1st,3rd,1st,2nd,3rd,4th,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:42:19,1st,2nd,3rd,4th,3rd,2nd,1st,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:42:19,3rd,2nd,1st,2nd,3rd,1st,4th,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:42:20,3rd,1st,2nd,3rd,2nd,4th,1st,1st,3rd,2nd,,1st,,1st,
5/26/2020 12:42:26,3rd,1st,2nd,1st,4th,2nd,3rd,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:42:28,2nd,1st,3rd,3rd,4th,2nd,1st,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:42:28,3rd,2nd,1st,4th,1st,2nd,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:42:29,3rd,2nd,1st,2nd,1st,4th,3rd,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:42:30,3rd,2nd,1st,2nd,1st,4th,3rd,3rd,1st,2nd,2nd,3rd,1st,1st,"People really need to try a different format.  Hey I'm [student name] and i would like [position] I have [personal anecdote or story about talking to students] and i have some ideas to fix [problem brought up in anecdote].  Some of my ideas are [ideas], but i wanna know what ideas you have. Vote for [name] if you want [generically good sounding word in illiteration with or rhyming with name]."
5/26/2020 12:42:35,3rd,1st,2nd,4th,1st,3rd,2nd,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:42:39,2nd,1st,3rd,3rd,4th,1st,2nd,2nd,1st,3rd,1st,2nd,3rd,1st,
5/26/2020 12:42:40,2nd,1st,3rd,2nd,3rd,1st,4th,3rd,2nd,1st,1st,3rd,2nd,1st,I wish that we could vote directly after seeing a category of videos in order to remember the candidate's speeches better when we go to vote.
5/26/2020 12:42:40,1st,3rd,2nd,2nd,4th,1st,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:42:42,2nd,3rd,1st,2nd,3rd,1st,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:42:44,3rd,2nd,1st,2nd,1st,,3rd,,1st,,,1st,2nd,,
5/26/2020 12:42:45,2nd,1st,3rd,2nd,1st,3rd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:42:51,3rd,2nd,1st,4th,3rd,1st,2nd,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:42:59,3rd,1st,2nd,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:43:02,2nd,1st,3rd,4th,3rd,2nd,1st,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:43:06,3rd,2nd,1st,2nd,1st,3rd,4th,2nd,3rd,1st,1st,3rd,2nd,1st,"i think the process would probably have been easier if the students had individual access to the speeches, rather than having an advisor play them and share their screen(because of audio issues or if someone wanted to rewatch some parts. i think that voting in advisory is effective and makes sense, but it might be better to find another way for students to watch speeches before voting."
5/26/2020 12:43:17,3rd,1st,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:43:22,2nd,1st,3rd,3rd,2nd,4th,1st,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:43:22,2nd,3rd,1st,4th,3rd,1st,2nd,3rd,1st,2nd,2nd,3rd,1st,1st,
5/26/2020 12:43:30,2nd,1st,3rd,1st,2nd,4th,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:43:30,2nd,1st,3rd,2nd,1st,,3rd,,1st,,,1st,2nd,,
5/26/2020 12:43:35,3rd,1st,2nd,3rd,1st,4th,2nd,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:43:41,3rd,1st,2nd,2nd,3rd,4th,1st,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:44:00,3rd,2nd,1st,2nd,1st,3rd,4th,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:44:54,2nd,3rd,1st,2nd,1st,3rd,4th,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:45:08,3rd,2nd,1st,4th,2nd,1st,3rd,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:45:12,1st,3rd,2nd,1st,2nd,4th,3rd,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:45:17,2nd,1st,3rd,1st,2nd,3rd,4th,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:45:18,3rd,1st,2nd,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:45:19,3rd,2nd,1st,,1st,,,,,,1st,,,1st,
5/26/2020 12:45:26,1st,3rd,2nd,2nd,3rd,1st,4th,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:45:27,2nd,3rd,1st,3rd,1st,4th,2nd,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:45:31,2nd,3rd,1st,4th,2nd,3rd,1st,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:45:31,3rd,1st,2nd,2nd,1st,3rd,4th,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:45:49,3rd,2nd,1st,1st,3rd,2nd,4th,1st,3rd,2nd,2nd,3rd,1st,1st,it was great!
5/26/2020 12:46:24,,,,,,,,3rd,2nd,1st,,,,,
5/26/2020 12:46:31,2nd,3rd,1st,1st,4th,2nd,3rd,3rd,1st,2nd,1st,3rd,2nd,1st,
5/26/2020 12:47:11,3rd,1st,2nd,2nd,1st,3rd,4th,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:47:25,3rd,2nd,1st,3rd,1st,2nd,4th,2nd,1st,3rd,,,1st,1st,
5/26/2020 12:47:42,2nd,3rd,1st,3rd,2nd,4th,1st,2nd,1st,3rd,1st,3rd,2nd,1st,
5/26/2020 12:48:31,1st,2nd,3rd,3rd,4th,2nd,1st,2nd,3rd,1st,2nd,1st,3rd,1st,
5/26/2020 12:49:49,1st,3rd,2nd,1st,3rd,4th,2nd,2nd,1st,3rd,1st,3rd,2nd,1st,"As it was done through screen sharing over zoom, I maybe saw 10-15 frames of each person's video. I don't know if there were particular reasons why it wasn't done this way, however this would have worked much better to watch the videos straight from google drive on our computers instead of through zoom. We could have still done it during advisory, we could have gotten access for that time period, watched the videos, and voted. The way we did it here, I feel like I missed a good chunk of the speech and definitely didn't really see what the person was doing. "
5/26/2020 12:58:34,3rd,2nd,1st,4th,2nd,1st,3rd,2nd,3rd,1st,2nd,1st,3rd,1st,
5/26/2020 12:58:44,2nd,,1st,1st,,,2nd,2nd,1st,,,1st,,,"Nueva should aim to be more inclusive with their elections and voting processes. By restricting the time of voting and video viewings it can inhibit some students from making fully educated votes. It is unclear what the intent of the persons who made these decisions regarding the advisory-only voting time but it is very un-democratic and a form of voter suppression. Additionally, I found it troubling that Nueva chose to conduct the elections in this restrictive way as it goes against school values and it is unconstitutional in the U.S. In the future, I hope Nueva will make changes to the election process so as to demonstrate the intended significance of student council their efforts to be an inclusive community."
5/26/2020 13:04:07,,1st,,3rd,2nd,1st,4th,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 13:14:59,2nd,1st,3rd,3rd,1st,4th,2nd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 13:16:40,2nd,1st,3rd,1st,3rd,4th,2nd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 13:29:46,2nd,1st,3rd,1st,4th,2nd,3rd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 20:36:59,2nd,1st,3rd,3rd,2nd,4th,1st,3rd,2nd,1st,2nd,3rd,1st,1st,