,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
0,4/9,42,84,50.0,18,25,72.0,7,28,25.0,109,Denver Nuggets
1,4/8,41,90,45.6,17,24,70.8,15,46,32.6,114,Denver Nuggets
2,4/6,44,83,53.0,19,23,82.6,8,23,34.8,115,Denver Nuggets
3,4/4,41,87,47.1,10,18,55.6,11,36,30.6,103,Denver Nuggets
4,4/2,44,100,44.0,15,18,83.3,9,33,27.3,112,Denver Nuggets
5,3/31,38,95,40.0,11,20,55.0,6,26,23.1,93,Denver Nuggets
6,3/30,32,80,40.0,20,32,62.5,4,28,14.3,88,Denver Nuggets
7,3/27,43,85,50.6,19,22,86.4,11,32,34.4,116,Denver Nuggets
8,3/25,47,89,52.8,20,28,71.4,15,36,41.7,129,Denver Nuggets
9,3/22,42,83,50.6,19,21,90.5,15,32,46.9,118,Denver Nuggets
10,3/19,42,80,52.5,12,13,92.3,12,23,52.2,108,Denver Nuggets
11,3/18,43,84,51.2,12,15,80.0,12,33,36.4,110,Denver Nuggets
12,3/16,47,89,52.8,17,25,68.0,8,24,33.3,119,Denver Nuggets
13,3/14,42,76,55.3,20,25,80.0,6,25,24.0,110,Denver Nuggets
14,3/12,45,90,50.0,18,24,75.0,12,31,38.7,120,Denver Nuggets
15,3/10,44,90,48.9,19,20,95.0,13,35,37.1,120,Denver Nuggets
16,3/8,37,88,42.0,7,15,46.7,15,40,37.5,96,Denver Nuggets
17,3/6,43,86,50.0,19,23,82.6,13,33,39.4,118,Denver Nuggets
18,3/3,40,87,46.0,25,31,80.6,8,31,25.8,113,Denver Nuggets
19,2/28,53,92,57.6,11,16,68.8,16,37,43.2,133,Denver Nuggets
20,2/26,49,96,51.0,23,31,74.2,13,39,33.3,134,Denver Nuggets
21,2/25,36,89,40.4,11,14,78.6,11,37,29.7,94,Denver Nuggets
22,2/23,39,84,46.4,20,23,87.0,17,36,47.2,115,Denver Nuggets
23,2/15,48,84,57.1,11,15,73.3,11,31,35.5,118,Denver Nuggets
24,2/13,44,76,57.9,13,15,86.7,11,28,39.3,112,Denver Nuggets
25,2/11,50,99,50.5,14,17,82.4,5,23,21.7,119,Denver Nuggets
26,2/9,39,84,46.4,16,24,66.7,10,33,30.3,104,Denver Nuggets
27,2/7,58,93,62.4,17,22,77.3,13,27,48.1,146,Denver Nuggets
28,2/5,34,71,47.9,24,31,77.4,6,25,24.0,98,Denver Nuggets
29,2/4,48,95,50.5,17,20,85.0,15,38,39.5,128,Denver Nuggets
30,2/2,51,90,56.7,16,21,76.2,16,35,45.7,134,Denver Nuggets
31,1/31,43,87,49.4,20,24,83.3,16,36,44.4,122,Denver Nuggets
32,1/28,44,81,54.3,17,20,85.0,14,34,41.2,119,Denver Nuggets
33,1/25,38,97,39.2,12,16,75.0,11,34,32.4,99,Denver Nuggets
34,1/24,39,80,48.8,10,13,76.9,11,33,33.3,99,Denver Nuggets
35,1/22,36,82,43.9,17,33,51.5,10,28,35.7,99,Denver Nuggets
36,1/20,51,83,61.4,18,26,69.2,14,28,50.0,134,Denver Nuggets
37,1/18,45,85,52.9,24,32,75.0,8,21,38.1,122,Denver Nuggets
38,1/17,44,88,50.0,23,28,82.1,11,32,34.4,122,Denver Nuggets
39,1/15,48,89,53.9,10,19,52.6,13,39,33.3,119,Denver Nuggets
40,1/13,41,82,50.0,19,25,76.0,14,33,42.4,115,Denver Nuggets
41,1/11,48,85,56.5,15,21,71.4,15,34,44.1,126,Denver Nuggets
42,1/9,46,99,46.5,15,17,88.2,15,42,35.7,122,Denver Nuggets
43,1/6,43,81,53.1,18,23,78.3,17,35,48.6,121,Denver Nuggets
44,1/5,45,89,50.6,18,21,85.7,14,36,38.9,122,Denver Nuggets
45,1/2,42,91,46.2,16,20,80.0,11,29,37.9,111,Denver Nuggets
46,1/1,45,79,57.0,16,18,88.9,17,30,56.7,123,Denver Nuggets
47,12/30,45,76,59.2,17,22,77.3,17,28,60.7,124,Denver Nuggets
48,12/28,49,85,57.6,16,18,88.9,12,27,44.4,126,Denver Nuggets
49,12/27,41,86,47.7,18,21,85.7,13,37,35.1,113,Denver Nuggets
50,12/25,45,94,47.9,25,34,73.5,13,36,36.1,128,Denver Nuggets
51,12/23,47,81,58.0,16,26,61.5,10,21,47.6,120,Denver Nuggets
52,12/20,40,89,44.9,15,25,60.0,10,27,37.0,105,Denver Nuggets
53,12/18,43,94,45.7,22,34,64.7,11,33,33.3,119,Denver Nuggets
54,12/16,39,81,48.1,21,28,75.0,9,27,33.3,108,Denver Nuggets
55,12/14,54,83,65.1,29,35,82.9,4,16,25.0,141,Denver Nuggets
56,12/10,47,86,54.7,13,16,81.3,8,26,30.8,115,Denver Nuggets
57,12/8,47,91,51.6,15,22,68.2,12,30,40.0,121,Denver Nuggets
58,12/6,40,78,51.3,22,28,78.6,13,32,40.6,115,Denver Nuggets
59,12/4,41,81,50.6,16,24,66.7,8,31,25.8,106,Denver Nuggets
60,12/2,45,85,52.9,7,13,53.8,12,32,37.5,109,Denver Nuggets
61,11/30,44,83,53.0,15,20,75.0,17,32,53.1,120,Denver Nuggets
62,11/28,50,88,56.8,17,20,85.0,12,30,40.0,129,Denver Nuggets
63,11/25,44,89,49.4,16,23,69.6,10,30,33.3,114,Denver Nuggets
64,11/23,42,88,47.7,33,41,80.5,14,38,36.8,131,Denver Nuggets
65,11/22,43,86,50.0,17,26,65.4,5,19,26.3,108,Denver Nuggets
66,11/20,37,78,47.4,15,19,78.9,9,27,33.3,98,Denver Nuggets
67,11/18,38,90,42.2,13,18,72.2,10,30,33.3,99,Denver Nuggets
68,11/16,36,82,43.9,17,20,85.0,14,38,36.8,103,Denver Nuggets
69,11/13,48,80,60.0,17,21,81.0,13,27,48.1,126,Denver Nuggets
70,11/11,42,92,45.7,16,20,80.0,12,29,41.4,112,Denver Nuggets
71,11/9,43,88,48.9,24,26,92.3,12,28,42.9,122,Denver Nuggets
72,11/7,47,88,53.4,13,20,65.0,8,24,33.3,115,Denver Nuggets
73,11/5,53,87,60.9,5,10,50.0,15,29,51.7,126,Denver Nuggets
74,11/3,45,84,53.6,14,16,87.5,18,31,58.1,122,Denver Nuggets
75,10/30,41,96,42.7,13,18,72.2,15,40,37.5,110,Denver Nuggets
76,10/28,39,85,45.9,22,34,64.7,17,37,45.9,117,Denver Nuggets
77,10/26,42,92,45.7,17,21,81.0,9,34,26.5,110,Denver Nuggets
78,10/24,45,91,49.5,8,14,57.1,12,31,38.7,110,Denver Nuggets
79,10/22,42,85,49.4,18,31,58.1,20,38,52.6,122,Denver Nuggets
80,10/21,46,86,53.5,21,25,84.0,15,34,44.1,128,Denver Nuggets
81,10/19,40,83,48.2,17,18,94.4,5,22,22.7,102,Denver Nuggets
0,4/9,40,92,43.5,13,18,72.2,7,37,18.9,100,Memphis Grizzlies
1,4/7,53,93,57.0,11,15,73.3,20,42,47.6,137,Memphis Grizzlies
2,4/5,50,104,48.1,19,25,76.0,12,36,33.3,131,Memphis Grizzlies
3,4/4,42,87,48.3,17,22,77.3,18,48,37.5,119,Memphis Grizzlies
4,4/2,39,84,46.4,10,12,83.3,19,43,44.2,107,Memphis Grizzlies
5,3/31,43,96,44.8,13,17,76.5,9,33,27.3,108,Memphis Grizzlies
6,3/29,49,95,51.6,23,28,82.1,11,32,34.4,132,Memphis Grizzlies
7,3/28,42,88,47.7,17,23,73.9,12,34,35.3,113,Memphis Grizzlies
8,3/26,48,89,53.9,14,19,73.7,13,33,39.4,123,Memphis Grizzlies
9,3/24,57,93,61.3,12,14,85.7,25,42,59.5,151,Memphis Grizzlies
10,3/22,45,87,51.7,28,33,84.8,12,36,33.3,130,Memphis Grizzlies
11,3/20,41,89,46.1,20,26,76.9,10,35,28.6,112,Memphis Grizzlies
12,3/18,52,95,54.7,11,17,64.7,18,38,47.4,133,Memphis Grizzlies
13,3/17,49,101,48.5,14,21,66.7,14,38,36.8,126,Memphis Grizzlies
14,3/15,46,91,50.5,9,14,64.3,18,46,39.1,119,Memphis Grizzlies
15,3/13,38,83,45.8,16,19,84.2,12,37,32.4,104,Memphis Grizzlies
16,3/11,41,86,47.7,20,24,83.3,10,38,26.3,112,Memphis Grizzlies
17,3/9,50,93,53.8,13,18,72.2,18,40,45.0,131,Memphis Grizzlies
18,3/7,36,93,38.7,22,29,75.9,9,37,24.3,103,Memphis Grizzlies
19,3/5,50,92,54.3,11,15,73.3,18,34,52.9,129,Memphis Grizzlies
20,3/3,31,84,36.9,24,31,77.4,11,32,34.4,97,Memphis Grizzlies
21,3/1,40,83,48.2,16,19,84.2,17,41,41.5,113,Memphis Grizzlies
22,2/28,51,112,45.5,13,17,76.5,6,31,19.4,121,Memphis Grizzlies
23,2/25,45,95,47.4,7,8,87.5,15,44,34.1,112,Memphis Grizzlies
24,2/23,34,87,39.1,30,36,83.3,7,32,21.9,105,Memphis Grizzlies
25,2/15,43,107,40.2,17,25,68.0,14,40,35.0,117,Memphis Grizzlies
26,2/12,42,84,50.0,13,21,61.9,12,34,35.3,109,Memphis Grizzlies
27,2/10,49,84,58.3,20,27,74.1,10,25,40.0,128,Memphis Grizzlies
28,2/7,39,81,48.1,15,21,71.4,11,33,33.3,104,Memphis Grizzlies
29,2/5,38,78,48.7,17,23,73.9,10,27,37.0,103,Memphis Grizzlies
30,2/2,41,87,47.1,21,22,95.5,10,23,43.5,113,Memphis Grizzlies
31,2/1,41,87,47.1,21,28,75.0,9,37,24.3,112,Memphis Grizzlies
32,1/29,43,89,48.3,17,22,77.3,9,37,24.3,112,Memphis Grizzlies
33,1/27,38,93,40.9,16,19,84.2,8,33,24.2,100,Memphis Grizzlies
34,1/25,42,88,47.7,26,37,70.3,10,31,32.3,120,Memphis Grizzlies
35,1/23,40,98,40.8,8,10,80.0,12,36,33.3,100,Memphis Grizzlies
36,1/22,40,92,43.5,19,27,70.4,11,32,34.4,110,Memphis Grizzlies
37,1/20,43,102,42.2,26,40,65.0,9,29,31.0,121,Memphis Grizzlies
38,1/18,44,97,45.4,16,22,72.7,11,34,32.4,115,Memphis Grizzlies
39,1/16,52,98,53.1,16,20,80.0,16,37,43.2,136,Memphis Grizzlies
40,1/14,48,87,55.2,22,28,78.6,12,32,37.5,130,Memphis Grizzlies
41,1/11,52,101,51.5,17,25,68.0,14,22,63.6,135,Memphis Grizzlies
42,1/9,45,91,49.5,20,35,57.1,11,26,42.3,121,Memphis Grizzlies
43,1/8,46,102,45.1,16,22,72.7,15,38,39.5,123,Memphis Grizzlies
44,1/5,48,92,52.2,15,23,65.2,12,36,33.3,123,Memphis Grizzlies
45,1/4,47,94,50.0,28,37,75.7,9,30,30.0,131,Memphis Grizzlies
46,1/1,46,100,46.0,16,24,66.7,10,32,31.3,118,Memphis Grizzlies
47,12/31,47,92,51.1,17,22,77.3,5,29,17.2,116,Memphis Grizzlies
48,12/29,48,95,50.5,10,14,71.4,13,29,44.8,119,Memphis Grizzlies
49,12/27,36,91,39.6,28,34,82.4,8,30,26.7,108,Memphis Grizzlies
50,12/25,39,94,41.5,22,30,73.3,9,39,23.1,109,Memphis Grizzlies
51,12/23,45,91,49.5,28,38,73.7,7,23,30.4,125,Memphis Grizzlies
52,12/20,36,81,44.4,14,21,66.7,5,26,19.2,91,Memphis Grizzlies
53,12/17,34,90,37.8,29,37,78.4,12,45,26.7,109,Memphis Grizzlies
54,12/15,56,102,54.9,18,23,78.3,12,32,37.5,142,Memphis Grizzlies
55,12/12,50,83,60.2,15,18,83.3,13,32,40.6,128,Memphis Grizzlies
56,12/9,44,91,48.4,17,32,53.1,9,32,28.1,114,Memphis Grizzlies
57,12/7,48,94,51.1,13,16,81.3,14,38,36.8,123,Memphis Grizzlies
58,12/5,42,90,46.7,9,9,100.0,8,32,25.0,101,Memphis Grizzlies
59,12/4,43,92,46.7,21,29,72.4,15,35,42.9,122,Memphis Grizzlies
60,12/2,42,97,43.3,22,28,78.6,11,30,36.7,117,Memphis Grizzlies
61,11/30,37,87,42.5,18,30,60.0,9,26,34.6,101,Memphis Grizzlies
62,11/27,46,95,48.4,23,31,74.2,12,32,37.5,127,Memphis Grizzlies
63,11/25,47,91,51.6,20,27,74.1,18,38,47.4,132,Memphis Grizzlies
64,11/22,41,91,45.1,19,30,63.3,8,30,26.7,109,Memphis Grizzlies
65,11/20,43,99,43.4,17,31,54.8,12,37,32.4,115,Memphis Grizzlies
66,11/18,39,93,41.9,29,40,72.5,14,39,35.9,121,Memphis Grizzlies
67,11/15,38,92,41.3,17,25,68.0,9,35,25.7,102,Memphis Grizzlies
68,11/13,38,96,39.6,7,10,70.0,9,28,32.1,92,Memphis Grizzlies
69,11/11,44,88,50.0,19,27,70.4,7,33,21.2,114,Memphis Grizzlies
70,11/9,50,98,51.0,10,13,76.9,14,32,43.8,124,Memphis Grizzlies
71,11/7,41,91,45.1,9,14,64.3,15,44,34.1,106,Memphis Grizzlies
72,11/6,39,91,42.9,16,20,80.0,9,29,31.0,103,Memphis Grizzlies
73,11/4,50,98,51.0,14,18,77.8,16,36,44.4,130,Memphis Grizzlies
74,11/2,38,83,45.8,22,27,81.5,13,28,46.4,111,Memphis Grizzlies
75,10/31,38,92,41.3,23,42,54.8,6,26,23.1,105,Memphis Grizzlies
76,10/29,50,88,56.8,11,15,73.3,12,27,44.4,123,Memphis Grizzlies
77,10/27,49,92,53.3,13,18,72.2,14,33,42.4,125,Memphis Grizzlies
78,10/24,47,94,50.0,24,31,77.4,16,34,47.1,134,Memphis Grizzlies
79,10/22,34,79,43.0,19,24,79.2,9,33,27.3,96,Memphis Grizzlies
80,10/21,45,98,45.9,20,29,69.0,19,42,45.2,129,Memphis Grizzlies
81,10/19,42,108,38.9,14,23,60.9,17,50,34.0,115,Memphis Grizzlies
0,4/9,37,85,43.5,10,15,66.7,11,43,25.6,95,Sacramento Kings
1,4/7,38,98,38.8,10,18,55.6,11,39,28.2,97,Sacramento Kings
2,4/5,46,106,43.4,15,19,78.9,12,37,32.4,119,Sacramento Kings
3,4/4,46,91,50.5,12,15,80.0,17,42,40.5,121,Sacramento Kings
4,4/2,49,103,47.6,25,32,78.1,11,44,25.0,134,Sacramento Kings
5,3/31,54,88,61.4,11,15,73.3,19,39,48.7,138,Sacramento Kings
6,3/29,42,92,45.7,18,24,75.0,18,48,37.5,120,Sacramento Kings
7,3/27,39,84,46.4,32,40,80.0,5,27,18.5,115,Sacramento Kings
8,3/25,44,95,46.3,17,21,81.0,16,43,37.2,121,Sacramento Kings
9,3/24,47,89,52.8,28,32,87.5,13,39,33.3,135,Sacramento Kings
10,3/21,39,81,48.1,14,21,66.7,17,44,38.6,109,Sacramento Kings
11,3/20,41,97,42.3,19,25,76.0,19,52,36.5,120,Sacramento Kings
12,3/18,48,86,55.8,14,23,60.9,22,37,59.5,132,Sacramento Kings
13,3/16,32,82,39.0,24,32,75.0,13,41,31.7,101,Sacramento Kings
14,3/15,38,78,48.7,23,29,79.3,18,42,42.9,117,Sacramento Kings
15,3/13,46,104,44.2,11,15,73.3,21,50,42.0,124,Sacramento Kings
16,3/11,41,85,48.2,31,37,83.8,15,35,42.9,128,Sacramento Kings
17,3/9,44,84,52.4,24,32,75.0,10,32,31.3,122,Sacramento Kings
18,3/6,47,83,56.6,13,20,65.0,16,38,42.1,123,Sacramento Kings
19,3/4,49,89,55.1,22,30,73.3,14,27,51.9,134,Sacramento Kings
20,3/3,46,87,52.9,26,26,100.0,10,33,30.3,128,Sacramento Kings
21,2/28,43,82,52.4,22,30,73.3,15,42,35.7,123,Sacramento Kings
22,2/26,45,85,52.9,16,24,66.7,18,43,41.9,124,Sacramento Kings
23,2/24,65,111,58.6,28,35,80.0,18,41,43.9,176,Sacramento Kings
24,2/23,47,85,55.3,25,31,80.6,14,34,41.2,133,Sacramento Kings
25,2/14,37,83,44.6,21,24,87.5,14,38,36.8,109,Sacramento Kings
26,2/11,51,100,51.0,23,25,92.0,8,32,25.0,133,Sacramento Kings
27,2/10,39,72,54.2,27,32,84.4,9,27,33.3,114,Sacramento Kings
28,2/8,46,92,50.0,28,30,93.3,10,30,33.3,130,Sacramento Kings
29,2/6,52,89,58.4,15,18,83.3,21,41,51.2,140,Sacramento Kings
30,2/5,35,82,42.7,23,27,85.2,11,42,26.2,104,Sacramento Kings
31,2/3,37,86,43.0,17,20,85.0,13,38,34.2,104,Sacramento Kings
32,2/1,48,90,53.3,15,19,78.9,8,27,29.6,119,Sacramento Kings
33,1/30,47,99,47.5,15,22,68.2,9,30,30.0,118,Sacramento Kings
34,1/28,37,82,45.1,27,36,75.0,9,33,27.3,110,Sacramento Kings
35,1/25,35,73,47.9,12,13,92.3,13,32,40.6,95,Sacramento Kings
36,1/23,49,88,55.7,13,14,92.9,22,40,55.0,133,Sacramento Kings
37,1/21,46,84,54.8,22,29,75.9,13,33,39.4,127,Sacramento Kings
38,1/20,41,87,47.1,24,28,85.7,12,38,31.6,118,Sacramento Kings
39,1/18,43,87,49.4,21,27,77.8,9,30,30.0,116,Sacramento Kings
40,1/15,49,89,55.1,20,25,80.0,14,30,46.7,132,Sacramento Kings
41,1/13,47,86,54.7,25,29,86.2,20,40,50.0,139,Sacramento Kings
42,1/11,45,94,47.9,26,31,83.9,19,48,39.6,135,Sacramento Kings
43,1/9,52,97,53.6,9,12,75.0,23,46,50.0,136,Sacramento Kings
44,1/7,45,86,52.3,30,37,81.1,14,32,43.8,134,Sacramento Kings
45,1/4,41,88,46.6,25,27,92.6,10,25,40.0,117,Sacramento Kings
46,1/3,46,86,53.5,16,18,88.9,9,32,28.1,117,Sacramento Kings
47,1/1,39,96,40.6,15,15,100.0,15,43,34.9,108,Sacramento Kings
48,12/30,50,90,55.6,14,19,73.7,12,30,40.0,126,Sacramento Kings
49,12/28,47,89,52.8,19,25,76.0,14,31,45.2,127,Sacramento Kings
50,12/27,40,82,48.8,16,19,84.2,10,35,28.6,106,Sacramento Kings
51,12/23,37,84,44.0,27,35,77.1,10,32,31.3,111,Sacramento Kings
52,12/21,48,95,50.5,21,28,75.0,17,47,36.2,134,Sacramento Kings
53,12/19,45,95,47.4,17,31,54.8,12,33,36.4,119,Sacramento Kings
54,12/16,43,82,52.4,24,29,82.8,12,31,38.7,122,Sacramento Kings
55,12/14,45,93,48.4,17,20,85.0,17,46,37.0,124,Sacramento Kings
56,12/13,38,92,41.3,17,20,85.0,10,42,23.8,103,Sacramento Kings
57,12/11,33,83,39.8,23,35,65.7,10,39,25.6,99,Sacramento Kings
58,12/9,35,66,53.0,20,32,62.5,16,33,48.5,106,Sacramento Kings
59,12/7,43,91,47.3,15,16,93.8,12,38,31.6,113,Sacramento Kings
60,12/4,40,86,46.5,17,19,89.5,13,43,30.2,110,Sacramento Kings
61,12/3,46,89,51.7,20,30,66.7,11,32,34.4,123,Sacramento Kings
62,11/30,48,95,50.5,25,29,86.2,16,43,37.2,137,Sacramento Kings
63,11/28,46,88,52.3,16,18,88.9,9,25,36.0,117,Sacramento Kings
64,11/25,36,87,41.4,23,26,88.5,9,36,25.0,104,Sacramento Kings
65,11/23,41,89,46.1,15,21,71.4,9,31,29.0,106,Sacramento Kings
66,11/22,39,90,43.3,20,27,74.1,15,45,33.3,113,Sacramento Kings
67,11/20,47,85,55.3,31,35,88.6,12,35,34.3,137,Sacramento Kings
68,11/17,48,83,57.8,22,24,91.7,12,30,40.0,130,Sacramento Kings
69,11/15,56,94,59.6,21,25,84.0,20,41,48.8,153,Sacramento Kings
70,11/13,47,91,51.6,12,19,63.2,16,37,43.2,122,Sacramento Kings
71,11/11,45,87,51.7,18,21,85.7,12,36,33.3,120,Sacramento Kings
72,11/9,40,76,52.6,30,35,85.7,17,39,43.6,127,Sacramento Kings
73,11/7,37,91,40.7,25,29,86.2,14,40,35.0,113,Sacramento Kings
74,11/5,47,93,50.5,17,26,65.4,15,40,37.5,126,Sacramento Kings
75,11/2,41,86,47.7,12,14,85.7,13,36,36.1,107,Sacramento Kings
76,10/31,37,85,43.5,24,28,85.7,17,44,38.6,115,Sacramento Kings
77,10/29,42,76,55.3,21,29,72.4,14,31,45.2,119,Sacramento Kings
78,10/27,40,83,48.2,18,22,81.8,12,38,31.6,110,Sacramento Kings
79,10/23,47,100,47.0,20,25,80.0,11,43,25.6,125,Sacramento Kings
80,10/22,40,85,47.1,15,26,57.7,14,35,40.0,109,Sacramento Kings
81,10/19,39,85,45.9,13,19,68.4,17,44,38.6,108,Sacramento Kings
0,4/9,42,99,42.4,16,22,72.7,14,37,37.8,114,Phoenix Suns
1,4/7,43,104,41.3,12,14,85.7,9,36,25.0,107,Phoenix Suns
2,4/6,41,79,51.9,20,25,80.0,17,36,47.2,119,Phoenix Suns
3,4/4,43,89,48.3,19,26,73.1,10,33,30.3,115,Phoenix Suns
