FULL,TEAM,URL
Seattle Storm,SEA,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/storm.png
Las Vegas Aces,LVA,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/aces.png
Los Angeles Sparks,LAS,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/sparks.png
Dallas Wings,DAL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/wings.png
Indiana Fever,IND,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/fever.png
Chicago Sky,CHI,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/sky.png
New York Liberty,NYL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/liberty.png
Washington Mystics,WAS,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/mystics.png
Minnesota Lynx,MIN,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/lynx.png
Connecticut Sun,CON,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/sun.png
Phoenix Mercury,PHO,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/mercury.png
Atlanta Dream,ATL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/dream.png